"la","lo","t","eggs","stage","a.0","a.1"
50.178,-6.15,49.5,0,2,2.4,3.4
50.188,-5.902,49.5,0,2,2.4,3.4
50.191,-5.662,49.5,0,2,2.4,3.4
50.261,-5.479,49.5,0,2,2.4,3.4
50.365,-5.231,49.5,0,2,2.4,3.4
50.317,-5.368,49.5,0,2,2.4,3.4
50.316,-5.619,49.5,0,2,2.4,3.4
50.314,-5.857,49.5,0,2,2.4,3.4
50.318,-6.105,49.5,0,2,2.4,3.4
50.314,-6.367,49.5,0,2,2.4,3.4
50.37,-6.597,49.5,0,2,2.4,3.4
50.428,-6.401,49.5,0,2,2.4,3.4
50.433,-6.141,49.5,0,2,2.4,3.4
50.434,-5.892,49.5,0,2,2.4,3.4
50.433,-5.645,49.5,0,2,2.4,3.4
50.435,-5.392,49.5,0.183,2,2.4,3.4
50.442,-5.161,49.5,0,2,2.4,3.4
50.568,-5.123,49.5,0.177,2,2.4,3.4
50.567,-5.359,49.5,0,2,2.4,3.4
50.568,-5.606,49.5,0,2,2.4,3.4
50.565,-5.849,49.5,0,2,2.4,3.4
50.619,-6.1,49.5,0,2,2.4,3.4
50.626,-6.351,49.5,0,2,2.4,3.4
50.617,-6.623,49.5,0,2,2.4,3.4
50.873,-6.648,49.5,0,2,2.4,3.4
50.878,-6.398,49.5,0,2,2.4,3.4
50.874,-6.135,49.5,0,2,2.4,3.4
50.872,-5.901,49.5,0,2,2.4,3.4
50.681,-5.878,49.5,0,2,2.4,3.4
50.686,-5.64,49.5,0,2,2.4,3.4
50.811,-5.622,49.5,0,2,2.4,3.4
50.924,-5.628,49.5,0,2,2.4,3.4
50.936,-5.398,49.5,0,2,2.4,3.4
50.814,-5.393,49.5,0,2,2.4,3.4
50.679,-5.396,49.5,0,2,2.4,3.4
50.678,-5.142,49.5,0.13,2,2.4,3.4
50.801,-5.157,49.5,0.11,2,2.4,3.4
50.928,-5.144,49.5,0,2,2.4,3.4
50.93,-4.891,49.5,0,2,2.4,3.4
50.808,-4.876,49.5,0.577,2,2.4,3.4
50.676,-4.89,49.5,0.183,2,2.4,3.4
50.612,-4.882,49.5,0,2,2.4,3.4
50.713,-4.703,49.5,0,2,2.4,3.4
50.811,-4.629,49.5,0,2,2.4,3.4
50.923,-4.63,49.5,0,2,2.4,3.4
51.123,-4.382,49.5,0,2,2.4,3.4
51.125,-4.637,49.5,0,2,2.4,3.4
51.173,-4.891,49.5,0,2,2.4,3.4
51.062,-4.894,49.5,0,2,2.4,3.4
51.061,-5.132,49.5,0.17,2,2.4,3.4
51.175,-5.139,49.5,0,2,2.4,3.4
51.118,-5.398,49.5,0,2,2.4,3.4
51.119,-5.647,49.5,0,2,2.4,3.4
51.116,-5.885,49.5,0,2,2.4,3.4
51.114,-6.151,49.5,0,2,2.4,3.4
51.114,-6.403,49.5,0,2,2.4,3.4
51.117,-6.646,49.5,0,2,2.4,3.4
50.055,-5.87,49.5,0,3,3.4,6.2
50.09,-6.146,49.5,0,3,3.4,6.2
50.123,-6.39,49.5,0,3,3.4,6.2
50.178,-6.15,49.5,0,3,3.4,6.2
50.188,-5.902,49.5,0,3,3.4,6.2
50.191,-5.662,49.5,0,3,3.4,6.2
50.261,-5.479,49.5,0,3,3.4,6.2
50.365,-5.231,49.5,0,3,3.4,6.2
50.317,-5.368,49.5,0,3,3.4,6.2
50.316,-5.619,49.5,0,3,3.4,6.2
50.314,-5.857,49.5,0,3,3.4,6.2
50.318,-6.105,49.5,0,3,3.4,6.2
50.314,-6.367,49.5,0,3,3.4,6.2
50.37,-6.597,49.5,0,3,3.4,6.2
50.428,-6.401,49.5,0,3,3.4,6.2
50.433,-6.141,49.5,0,3,3.4,6.2
50.434,-5.892,49.5,0,3,3.4,6.2
50.433,-5.645,49.5,0,3,3.4,6.2
50.435,-5.392,49.5,0,3,3.4,6.2
50.442,-5.161,49.5,0,3,3.4,6.2
50.568,-5.123,49.5,0,3,3.4,6.2
50.567,-5.359,49.5,0,3,3.4,6.2
50.568,-5.606,49.5,0,3,3.4,6.2
50.565,-5.849,49.5,0,3,3.4,6.2
50.619,-6.1,49.5,0,3,3.4,6.2
50.626,-6.351,49.5,0,3,3.4,6.2
50.617,-6.623,49.5,0,3,3.4,6.2
50.873,-6.648,49.5,0,3,3.4,6.2
50.878,-6.398,49.5,0,3,3.4,6.2
50.874,-6.135,49.5,0,3,3.4,6.2
50.872,-5.901,49.5,0,3,3.4,6.2
50.681,-5.878,49.5,0,3,3.4,6.2
50.686,-5.64,49.5,0,3,3.4,6.2
50.811,-5.622,49.5,0,3,3.4,6.2
50.924,-5.628,49.5,0,3,3.4,6.2
50.936,-5.398,49.5,0,3,3.4,6.2
50.814,-5.393,49.5,0,3,3.4,6.2
50.679,-5.396,49.5,0.167,3,3.4,6.2
50.678,-5.142,49.5,0,3,3.4,6.2
50.801,-5.157,49.5,0,3,3.4,6.2
50.928,-5.144,49.5,0.099,3,3.4,6.2
50.93,-4.891,49.5,0.103,3,3.4,6.2
50.808,-4.876,49.5,0.693,3,3.4,6.2
50.676,-4.89,49.5,0.183,3,3.4,6.2
50.612,-4.882,49.5,0,3,3.4,6.2
50.713,-4.703,49.5,0,3,3.4,6.2
50.811,-4.629,49.5,0,3,3.4,6.2
50.923,-4.63,49.5,0,3,3.4,6.2
51.123,-4.382,49.5,0,3,3.4,6.2
51.125,-4.637,49.5,0,3,3.4,6.2
51.173,-4.891,49.5,0.294,3,3.4,6.2
51.062,-4.894,49.5,0,3,3.4,6.2
51.061,-5.132,49.5,0.341,3,3.4,6.2
51.175,-5.139,49.5,0,3,3.4,6.2
51.118,-5.398,49.5,0,3,3.4,6.2
51.119,-5.647,49.5,0,3,3.4,6.2
51.116,-5.885,49.5,0,3,3.4,6.2
51.114,-6.151,49.5,0,3,3.4,6.2
51.114,-6.403,49.5,0,3,3.4,6.2
51.117,-6.646,49.5,0,3,3.4,6.2
50.055,-5.87,49.5,0,4,6.2,8.4
50.09,-6.146,49.5,0,4,6.2,8.4
50.123,-6.39,49.5,0,4,6.2,8.4
50.178,-6.15,49.5,0,4,6.2,8.4
50.188,-5.902,49.5,0,4,6.2,8.4
50.191,-5.662,49.5,0,4,6.2,8.4
50.261,-5.479,49.5,0,4,6.2,8.4
50.365,-5.231,49.5,0,4,6.2,8.4
50.317,-5.368,49.5,0,4,6.2,8.4
50.316,-5.619,49.5,0,4,6.2,8.4
50.314,-5.857,49.5,0,4,6.2,8.4
50.318,-6.105,49.5,0,4,6.2,8.4
50.314,-6.367,49.5,0,4,6.2,8.4
50.37,-6.597,49.5,0,4,6.2,8.4
50.428,-6.401,49.5,0,4,6.2,8.4
50.433,-6.141,49.5,0,4,6.2,8.4
50.434,-5.892,49.5,0,4,6.2,8.4
50.433,-5.645,49.5,0,4,6.2,8.4
50.435,-5.392,49.5,0,4,6.2,8.4
50.442,-5.161,49.5,0,4,6.2,8.4
50.568,-5.123,49.5,0,4,6.2,8.4
50.567,-5.359,49.5,0,4,6.2,8.4
50.568,-5.606,49.5,0,4,6.2,8.4
50.565,-5.849,49.5,0,4,6.2,8.4
50.619,-6.1,49.5,0,4,6.2,8.4
50.626,-6.351,49.5,0,4,6.2,8.4
50.617,-6.623,49.5,0,4,6.2,8.4
50.873,-6.648,49.5,0,4,6.2,8.4
50.878,-6.398,49.5,0,4,6.2,8.4
50.874,-6.135,49.5,0,4,6.2,8.4
50.872,-5.901,49.5,0,4,6.2,8.4
50.681,-5.878,49.5,0,4,6.2,8.4
50.686,-5.64,49.5,0,4,6.2,8.4
50.811,-5.622,49.5,0,4,6.2,8.4
50.924,-5.628,49.5,0,4,6.2,8.4
50.936,-5.398,49.5,0,4,6.2,8.4
50.814,-5.393,49.5,0,4,6.2,8.4
50.679,-5.396,49.5,0.167,4,6.2,8.4
50.678,-5.142,49.5,0,4,6.2,8.4
50.801,-5.157,49.5,0,4,6.2,8.4
50.928,-5.144,49.5,0,4,6.2,8.4
50.93,-4.891,49.5,0,4,6.2,8.4
50.808,-4.876,49.5,0.115,4,6.2,8.4
50.676,-4.89,49.5,0.183,4,6.2,8.4
50.612,-4.882,49.5,0,4,6.2,8.4
50.713,-4.703,49.5,0,4,6.2,8.4
50.811,-4.629,49.5,0,4,6.2,8.4
50.923,-4.63,49.5,0,4,6.2,8.4
51.123,-4.382,49.5,0,4,6.2,8.4
51.125,-4.637,49.5,0,4,6.2,8.4
51.173,-4.891,49.5,0,4,6.2,8.4
51.062,-4.894,49.5,0,4,6.2,8.4
51.061,-5.132,49.5,0,4,6.2,8.4
51.175,-5.139,49.5,0,4,6.2,8.4
51.118,-5.398,49.5,0,4,6.2,8.4
51.119,-5.647,49.5,0,4,6.2,8.4
51.116,-5.885,49.5,0,4,6.2,8.4
51.114,-6.151,49.5,0,4,6.2,8.4
51.114,-6.403,49.5,0,4,6.2,8.4
51.117,-6.646,49.5,0,4,6.2,8.4
51.62,-6.385,70,0,1,0,2.4
51.623,-6.139,70,0,1,0,2.4
51.618,-5.894,70,0,1,0,2.4
51.617,-5.644,70,0,1,0,2.4
51.626,-5.384,70,0,1,0,2.4
51.609,-5.173,70,0,1,0,2.4
51.589,-4.845,70,0,1,0,2.4
51.62,-4.636,70,0,1,0,2.4
51.603,-4.411,70,0,1,0,2.4
51.529,-3.886,70,0,1,0,2.4
51.381,-3.876,70,0,1,0,2.4
51.257,-3.85,70,0,1,0,2.4
51.233,-4.118,70,0,1,0,2.4
51.377,-4.122,70,0,1,0,2.4
51.375,-4.361,70,0,1,0,2.4
51.376,-4.615,70,0,1,0,2.4
51.375,-4.87,70,0,1,0,2.4
51.376,-5.113,70,0,1,0,2.4
51.376,-5.394,70,0,1,0,2.4
51.375,-5.65,70,0.162,1,0,2.4
51.376,-5.886,70,0,1,0,2.4
51.378,-6.145,70,0,1,0,2.4
51.36,-6.408,70,0,1,0,2.4
51.367,-6.652,70,0,1,0,2.4
51.105,-6.648,70,0,1,0,2.4
50.855,-6.624,70,0,1,0,2.4
50.865,-6.372,70,0,1,0,2.4
51.101,-6.387,70,0,1,0,2.4
51.115,-6.153,70,0,1,0,2.4
50.866,-6.162,70,0,1,0,2.4
50.873,-5.901,70,0,1,0,2.4
51.121,-5.903,70,0,1,0,2.4
51.124,-5.642,70,0,1,0,2.4
51.125,-5.396,70,1.396,1,0,2.4
51.182,-5.142,70,2.398,1,0,2.4
51.082,-5.116,70,2.116,1,0,2.4
51.063,-4.875,70,1.421,1,0,2.4
51.175,-4.876,70,1.083,1,0,2.4
51.126,-4.635,70,0.549,1,0,2.4
51.124,-4.373,70,0,1,0,2.4
50.924,-4.629,70,0,1,0,2.4
50.927,-4.85,70,2.616,1,0,2.4
50.931,-5.104,70,4.299,1,0,2.4
50.936,-5.351,70,3.026,1,0,2.4
50.936,-5.603,70,0,1,0,2.4
50.827,-5.624,70,0,1,0,2.4
50.819,-5.403,70,1.654,1,0,2.4
50.817,-5.15,70,0.474,1,0,2.4
50.815,-4.898,70,12.893,1,0,2.4
50.818,-4.622,70,0,1,0,2.4
50.717,-4.699,70,0,1,0,2.4
50.615,-4.876,70,0.885,1,0,2.4
50.684,-4.867,70,3.687,1,0,2.4
50.682,-5.102,70,17.492,1,0,2.4
50.682,-5.353,70,3.429,1,0,2.4
50.685,-5.6,70,2.503,1,0,2.4
50.689,-5.851,70,1.649,1,0,2.4
50.625,-6.099,70,0,1,0,2.4
50.628,-6.351,70,0,1,0,2.4
50.63,-6.609,70,0,1,0,2.4
50.375,-6.655,70,0,1,0,2.4
50.425,-6.398,70,0,1,0,2.4
50.438,-6.151,70,0,1,0,2.4
50.556,-5.892,70,1.254,1,0,2.4
50.45,-5.865,70,3.494,1,0,2.4
50.427,-5.612,70,17.048,1,0,2.4
50.574,-5.646,70,10.09,1,0,2.4
50.566,-5.404,70,14.846,1,0,2.4
50.568,-5.128,70,8.823,1,0,2.4
50.459,-5.161,70,2.047,1,0,2.4
50.356,-5.237,70,0,1,0,2.4
50.251,-5.49,70,0,1,0,2.4
50.31,-5.376,70,5.007,1,0,2.4
50.437,-5.361,70,21.819,1,0,2.4
50.323,-5.61,70,3.667,1,0,2.4
50.32,-5.854,70,0.355,1,0,2.4
50.316,-6.102,70,0,1,0,2.4
50.33,-6.376,70,0,1,0,2.4
50.12,-6.393,70,0.549,1,0,2.4
50.176,-6.146,70,0,1,0,2.4
50.07,-6.161,70,0,1,0,2.4
51.62,-6.385,70,0,2,2.4,3.4
51.623,-6.139,70,0,2,2.4,3.4
51.618,-5.894,70,0,2,2.4,3.4
51.617,-5.644,70,0,2,2.4,3.4
51.626,-5.384,70,0,2,2.4,3.4
51.609,-5.173,70,0,2,2.4,3.4
51.589,-4.845,70,0,2,2.4,3.4
51.62,-4.636,70,0,2,2.4,3.4
51.603,-4.411,70,0,2,2.4,3.4
51.529,-3.886,70,0,2,2.4,3.4
51.381,-3.876,70,0,2,2.4,3.4
51.257,-3.85,70,0,2,2.4,3.4
51.233,-4.118,70,0,2,2.4,3.4
51.377,-4.122,70,0,2,2.4,3.4
51.375,-4.361,70,0,2,2.4,3.4
51.376,-4.615,70,0,2,2.4,3.4
51.375,-4.87,70,0,2,2.4,3.4
51.376,-5.113,70,0,2,2.4,3.4
51.376,-5.394,70,0,2,2.4,3.4
51.375,-5.65,70,0,2,2.4,3.4
51.376,-5.886,70,0,2,2.4,3.4
51.378,-6.145,70,0,2,2.4,3.4
51.36,-6.408,70,0,2,2.4,3.4
51.367,-6.652,70,0,2,2.4,3.4
51.105,-6.648,70,0,2,2.4,3.4
50.855,-6.624,70,0,2,2.4,3.4
50.865,-6.372,70,0,2,2.4,3.4
51.101,-6.387,70,0,2,2.4,3.4
51.115,-6.153,70,0,2,2.4,3.4
50.866,-6.162,70,0,2,2.4,3.4
50.873,-5.901,70,0,2,2.4,3.4
51.121,-5.903,70,0,2,2.4,3.4
51.124,-5.642,70,0,2,2.4,3.4
51.125,-5.396,70,0.931,2,2.4,3.4
51.182,-5.142,70,0.799,2,2.4,3.4
51.082,-5.116,70,1.693,2,2.4,3.4
51.063,-4.875,70,0.355,2,2.4,3.4
51.175,-4.876,70,0.541,2,2.4,3.4
51.126,-4.635,70,0.137,2,2.4,3.4
51.124,-4.373,70,0,2,2.4,3.4
50.924,-4.629,70,0,2,2.4,3.4
50.927,-4.85,70,0.374,2,2.4,3.4
50.931,-5.104,70,1.228,2,2.4,3.4
50.936,-5.351,70,0.336,2,2.4,3.4
50.936,-5.603,70,0,2,2.4,3.4
50.827,-5.624,70,0,2,2.4,3.4
50.819,-5.403,70,0.331,2,2.4,3.4
50.817,-5.15,70,0.632,2,2.4,3.4
50.815,-4.898,70,3.711,2,2.4,3.4
50.818,-4.622,70,0,2,2.4,3.4
50.717,-4.699,70,0,2,2.4,3.4
50.615,-4.876,70,0,2,2.4,3.4
50.684,-4.867,70,3.017,2,2.4,3.4
50.682,-5.102,70,5.284,2,2.4,3.4
50.682,-5.353,70,0.807,2,2.4,3.4
50.685,-5.6,70,3.04,2,2.4,3.4
50.689,-5.851,70,0,2,2.4,3.4
50.625,-6.099,70,0,2,2.4,3.4
50.628,-6.351,70,0,2,2.4,3.4
50.63,-6.609,70,0,2,2.4,3.4
50.375,-6.655,70,0,2,2.4,3.4
50.425,-6.398,70,0,2,2.4,3.4
50.438,-6.151,70,0,2,2.4,3.4
50.556,-5.892,70,0.358,2,2.4,3.4
50.45,-5.865,70,3.688,2,2.4,3.4
50.427,-5.612,70,0.319,2,2.4,3.4
50.574,-5.646,70,2.794,2,2.4,3.4
50.566,-5.404,70,5.52,2,2.4,3.4
50.568,-5.128,70,4.089,2,2.4,3.4
50.459,-5.161,70,0,2,2.4,3.4
50.356,-5.237,70,0,2,2.4,3.4
50.251,-5.49,70,0,2,2.4,3.4
50.31,-5.376,70,1.088,2,2.4,3.4
50.437,-5.361,70,2.752,2,2.4,3.4
50.323,-5.61,70,0.204,2,2.4,3.4
50.32,-5.854,70,0.709,2,2.4,3.4
50.316,-6.102,70,0,2,2.4,3.4
50.33,-6.376,70,0,2,2.4,3.4
50.12,-6.393,70,0,2,2.4,3.4
50.176,-6.146,70,0,2,2.4,3.4
50.07,-6.161,70,0,2,2.4,3.4
51.62,-6.385,70,0,3,3.4,6.2
51.623,-6.139,70,0,3,3.4,6.2
51.618,-5.894,70,0,3,3.4,6.2
51.617,-5.644,70,0,3,3.4,6.2
51.626,-5.384,70,0,3,3.4,6.2
51.609,-5.173,70,0,3,3.4,6.2
51.589,-4.845,70,0,3,3.4,6.2
51.62,-4.636,70,0,3,3.4,6.2
51.603,-4.411,70,0,3,3.4,6.2
51.529,-3.886,70,0,3,3.4,6.2
51.381,-3.876,70,0,3,3.4,6.2
51.257,-3.85,70,0,3,3.4,6.2
51.233,-4.118,70,0,3,3.4,6.2
51.377,-4.122,70,0,3,3.4,6.2
51.375,-4.361,70,0,3,3.4,6.2
51.376,-4.615,70,0,3,3.4,6.2
51.375,-4.87,70,0,3,3.4,6.2
51.376,-5.113,70,0,3,3.4,6.2
51.376,-5.394,70,0,3,3.4,6.2
51.375,-5.65,70,0,3,3.4,6.2
51.376,-5.886,70,0,3,3.4,6.2
51.378,-6.145,70,0,3,3.4,6.2
51.36,-6.408,70,0,3,3.4,6.2
51.367,-6.652,70,0,3,3.4,6.2
51.105,-6.648,70,0,3,3.4,6.2
50.855,-6.624,70,0,3,3.4,6.2
50.865,-6.372,70,0,3,3.4,6.2
51.101,-6.387,70,0,3,3.4,6.2
51.115,-6.153,70,0,3,3.4,6.2
50.866,-6.162,70,0,3,3.4,6.2
50.873,-5.901,70,0,3,3.4,6.2
51.121,-5.903,70,0,3,3.4,6.2
51.124,-5.642,70,0,3,3.4,6.2
51.125,-5.396,70,1.164,3,3.4,6.2
51.182,-5.142,70,0.2,3,3.4,6.2
51.082,-5.116,70,0,3,3.4,6.2
51.063,-4.875,70,0.178,3,3.4,6.2
51.175,-4.876,70,0.902,3,3.4,6.2
51.126,-4.635,70,0.137,3,3.4,6.2
51.124,-4.373,70,0,3,3.4,6.2
50.924,-4.629,70,0,3,3.4,6.2
50.927,-4.85,70,0.187,3,3.4,6.2
50.931,-5.104,70,0,3,3.4,6.2
50.936,-5.351,70,0.504,3,3.4,6.2
50.936,-5.603,70,0,3,3.4,6.2
50.827,-5.624,70,0,3,3.4,6.2
50.819,-5.403,70,0.661,3,3.4,6.2
50.817,-5.15,70,2.214,3,3.4,6.2
50.815,-4.898,70,6.837,3,3.4,6.2
50.818,-4.622,70,0,3,3.4,6.2
50.717,-4.699,70,0,3,3.4,6.2
50.615,-4.876,70,0,3,3.4,6.2
50.684,-4.867,70,1.676,3,3.4,6.2
50.682,-5.102,70,6.559,3,3.4,6.2
50.682,-5.353,70,1.008,3,3.4,6.2
50.685,-5.6,70,1.609,3,3.4,6.2
50.689,-5.851,70,0,3,3.4,6.2
50.625,-6.099,70,0,3,3.4,6.2
50.628,-6.351,70,0,3,3.4,6.2
50.63,-6.609,70,0,3,3.4,6.2
50.375,-6.655,70,0,3,3.4,6.2
50.425,-6.398,70,0,3,3.4,6.2
50.438,-6.151,70,0,3,3.4,6.2
50.556,-5.892,70,1.433,3,3.4,6.2
50.45,-5.865,70,1.747,3,3.4,6.2
50.427,-5.612,70,0.319,3,3.4,6.2
50.574,-5.646,70,0.776,3,3.4,6.2
50.566,-5.404,70,7.042,3,3.4,6.2
50.568,-5.128,70,0.646,3,3.4,6.2
50.459,-5.161,70,0,3,3.4,6.2
50.356,-5.237,70,0,3,3.4,6.2
50.251,-5.49,70,0,3,3.4,6.2
50.31,-5.376,70,0,3,3.4,6.2
50.437,-5.361,70,7.273,3,3.4,6.2
50.323,-5.61,70,0,3,3.4,6.2
50.32,-5.854,70,0,3,3.4,6.2
50.316,-6.102,70,0,3,3.4,6.2
50.33,-6.376,70,0,3,3.4,6.2
50.12,-6.393,70,0,3,3.4,6.2
50.176,-6.146,70,0,3,3.4,6.2
50.07,-6.161,70,0,3,3.4,6.2
51.62,-6.385,70,0,4,6.2,8.4
51.623,-6.139,70,0,4,6.2,8.4
51.618,-5.894,70,0,4,6.2,8.4
51.617,-5.644,70,0,4,6.2,8.4
51.626,-5.384,70,0,4,6.2,8.4
51.609,-5.173,70,0,4,6.2,8.4
51.589,-4.845,70,0,4,6.2,8.4
51.62,-4.636,70,0,4,6.2,8.4
51.603,-4.411,70,0,4,6.2,8.4
51.529,-3.886,70,0,4,6.2,8.4
51.381,-3.876,70,0,4,6.2,8.4
51.257,-3.85,70,0,4,6.2,8.4
51.233,-4.118,70,0,4,6.2,8.4
51.377,-4.122,70,0,4,6.2,8.4
51.375,-4.361,70,0,4,6.2,8.4
51.376,-4.615,70,0,4,6.2,8.4
51.375,-4.87,70,0,4,6.2,8.4
51.376,-5.113,70,0,4,6.2,8.4
51.376,-5.394,70,0,4,6.2,8.4
51.375,-5.65,70,0,4,6.2,8.4
51.376,-5.886,70,0,4,6.2,8.4
51.378,-6.145,70,0,4,6.2,8.4
51.36,-6.408,70,0,4,6.2,8.4
51.367,-6.652,70,0,4,6.2,8.4
51.105,-6.648,70,0,4,6.2,8.4
50.855,-6.624,70,0,4,6.2,8.4
50.865,-6.372,70,0,4,6.2,8.4
51.101,-6.387,70,0,4,6.2,8.4
51.115,-6.153,70,0,4,6.2,8.4
50.866,-6.162,70,0,4,6.2,8.4
50.873,-5.901,70,0,4,6.2,8.4
51.121,-5.903,70,0,4,6.2,8.4
51.124,-5.642,70,0,4,6.2,8.4
51.125,-5.396,70,0,4,6.2,8.4
51.182,-5.142,70,0,4,6.2,8.4
51.082,-5.116,70,0,4,6.2,8.4
51.063,-4.875,70,0,4,6.2,8.4
51.175,-4.876,70,0,4,6.2,8.4
51.126,-4.635,70,0,4,6.2,8.4
51.124,-4.373,70,0,4,6.2,8.4
50.924,-4.629,70,0,4,6.2,8.4
50.927,-4.85,70,0,4,6.2,8.4
50.931,-5.104,70,0.154,4,6.2,8.4
50.936,-5.351,70,0.168,4,6.2,8.4
50.936,-5.603,70,0,4,6.2,8.4
50.827,-5.624,70,0,4,6.2,8.4
50.819,-5.403,70,0.661,4,6.2,8.4
50.817,-5.15,70,0.791,4,6.2,8.4
50.815,-4.898,70,3.907,4,6.2,8.4
50.818,-4.622,70,0,4,6.2,8.4
50.717,-4.699,70,0.925,4,6.2,8.4
50.615,-4.876,70,0.885,4,6.2,8.4
50.684,-4.867,70,0.838,4,6.2,8.4
50.682,-5.102,70,2.186,4,6.2,8.4
50.682,-5.353,70,0.807,4,6.2,8.4
50.685,-5.6,70,0.536,4,6.2,8.4
50.689,-5.851,70,0,4,6.2,8.4
50.625,-6.099,70,0,4,6.2,8.4
50.628,-6.351,70,0,4,6.2,8.4
50.63,-6.609,70,0,4,6.2,8.4
50.375,-6.655,70,0,4,6.2,8.4
50.425,-6.398,70,0,4,6.2,8.4
50.438,-6.151,70,0,4,6.2,8.4
50.556,-5.892,70,0.537,4,6.2,8.4
50.45,-5.865,70,0.582,4,6.2,8.4
50.427,-5.612,70,0.159,4,6.2,8.4
50.574,-5.646,70,0,4,6.2,8.4
50.566,-5.404,70,2.474,4,6.2,8.4
50.568,-5.128,70,0,4,6.2,8.4
50.459,-5.161,70,0,4,6.2,8.4
50.356,-5.237,70,0,4,6.2,8.4
50.251,-5.49,70,0,4,6.2,8.4
50.31,-5.376,70,0,4,6.2,8.4
50.437,-5.361,70,3.735,4,6.2,8.4
50.323,-5.61,70,0,4,6.2,8.4
50.32,-5.854,70,0,4,6.2,8.4
50.316,-6.102,70,0,4,6.2,8.4
50.33,-6.376,70,0,4,6.2,8.4
50.12,-6.393,70,0,4,6.2,8.4
50.176,-6.146,70,0,4,6.2,8.4
50.07,-6.161,70,0,4,6.2,8.4
50.065,-5.879,93.5,8.643,1,0,2.4
50.067,-6.119,93.5,0.207,1,0,2.4
50.118,-6.348,93.5,0,1,0,2.4
50.185,-6.147,93.5,2.241,1,0,2.4
50.187,-5.894,93.5,0.6,1,0,2.4
50.187,-5.665,93.5,0,1,0,2.4
50.231,-5.461,93.5,0,1,0,2.4
50.316,-5.365,93.5,3.701,1,0,2.4
50.317,-5.615,93.5,1.157,1,0,2.4
50.318,-5.853,93.5,0.788,1,0,2.4
50.319,-6.108,93.5,0,1,0,2.4
50.318,-6.338,93.5,0,1,0,2.4
50.364,-6.598,93.5,0,1,0,2.4
50.441,-6.393,93.5,0,1,0,2.4
50.443,-6.145,93.5,0,1,0,2.4
50.448,-5.889,93.5,1.323,1,0,2.4
50.448,-5.644,93.5,0.356,1,0,2.4
50.443,-5.399,93.5,16.858,1,0,2.4
50.44,-5.166,93.5,0.448,1,0,2.4
50.563,-5.115,93.5,0.934,1,0,2.4
50.569,-5.344,93.5,15.231,1,0,2.4
50.567,-5.602,93.5,4.095,1,0,2.4
