"n.ipo","ir","dp","reg.t","t","month"
27,18.5,-0.796,59.91,95,11
47,19.6,4.506,67.38,96,12
22,11.9,-14.292,63.17,97,1
36,18.7,9.247,53.15,98,2
62,16.9,-4.932,73.97,99,3
31,13.8,-1.376,66.1,100,4
48,18.4,1.393,72.53,101,5
57,20.2,-0.438,59.03,102,6
58,12.3,-6.136,66.6,103,7
54,12,-3.395,69.68,104,8
47,18.1,3.097,57.77,105,9
58,19,6.027,87.7,106,10
78,11.5,-5.273,310.93,107,11
76,11.2,-8.128,78.56,108,12
26,12.7,1.039,75.8,109,1
62,16.9,5.272,124.69,110,2
61,12.8,1.13,107.13,111,3
48,17.2,-10.182,119.45,112,4
71,7.2,-14.068,95.48,113,5
53,7.9,-25.556,139.63,114,6
41,11,-18.442,76.01,115,7
43,11.7,-19.817,88.3,116,8
37,22.1,-12.121,143.43,117,9
46,17.6,-4.327,94.59,118,10
44,19.4,-10.005,136.31,119,11
36,8.2,-5.508,79.02,120,12
18,13.2,-3.843,69.78,121,1
37,19.8,-4.322,60.24,122,2
29,23.2,1.644,96.58,123,3
31,18.8,5.248,64.29,124,4
35,24,7.773,84.78,125,5
55,18.5,5.535,64.29,126,6
50,21.8,0.155,41.87,127,7
53,25.4,0.426,68.05,128,8
35,18.1,8.029,65.68,129,9
62,12.5,-1.674,72.28,130,10
84,26.5,-0.82,67.68,131,11
77,18.7,-2.038,73.83,132,12
29,20.5,0.993,80.29,133,1
65,18.9,0.91,66.4,134,2
73,17.7,-1.92,59.14,135,3
67,31.3,1.318,58.42,136,4
94,28,3.757,76.57,137,5
87,14.5,0.855,96.8,138,6
66,10.6,-2.158,83.46,139,7
58,9.2,-14.431,76.36,140,8
59,20.1,-2.574,80.38,141,9
106,11.2,-7.171,105.49,142,10
81,11.5,-8.134,83.92,143,11
60,10.7,-6.321,72.43,144,12
34,11.9,-9.309,87.46,145,1
62,10.5,-11.088,91.88,146,2
39,9.7,-1.809,103.77,147,3
31,8.4,-14.38,89.35,148,4
41,19.5,-12.097,56.61,149,5
63,14.8,6.099,103,150,6
54,16.4,-3.224,60.02,151,7
46,14.7,1.192,70.32,152,8
52,23.1,9.275,63.24,153,9
65,19.6,11.184,100.74,154,10
80,7.6,-10.004,83.73,155,11
35,7.4,-13.196,82.04,156,12
