"id.num","order","days","log.size","ozone"
29,1,152,4.88,1
29,2,174,5.14,1
29,3,201,5.52,1
29,4,227,6.08,1
29,5,258,6.17,1
29,6,469,6.32,1
29,7,528,6.33,1
29,8,556,6.37,1
29,9,579,6.68,1
29,10,613,6.83,1
29,11,639,6.94,1
29,12,674,6.93,1
29,13,674,6.95,1
30,1,152,4.88,1
30,2,174,5.32,1
30,3,201,5.63,1
30,4,227,5.75,1
30,5,258,5.94,1
30,6,469,6.09,1
30,7,528,6.09,1
30,8,556,6.14,1
30,9,579,6.51,1
30,10,613,6.61,1
30,11,639,6.68,1
30,12,674,6.64,1
30,13,674,6.74,1
31,1,152,3.8,1
31,2,174,4.16,1
31,3,201,4.45,1
31,4,227,4.89,1
31,5,258,5.05,1
31,6,469,5.06,1
31,7,528,5.06,1
31,8,556,5.13,1
31,9,579,5.32,1
31,10,613,5.46,1
31,11,639,5.46,1
31,12,674,5.42,1
31,13,674,5.49,1
32,1,152,4.46,1
32,2,174,4.62,1
32,3,201,5,1
32,4,227,5.4,1
32,5,258,5.49,1
32,6,469,5.68,1
32,7,528,5.72,1
32,8,556,5.95,1
32,9,579,6.13,1
32,10,613,6.32,1
32,11,639,6.33,1
32,12,674,6.33,1
32,13,674,6.3,1
33,1,152,4.29,1
33,2,174,4.82,1
33,3,201,5.32,1
33,4,227,5.46,1
33,5,258,5.5,1
33,6,469,5.54,1
33,7,528,5.54,1
33,8,556,5.54,1
33,9,579,5.6,1
33,10,613,5.57,1
33,11,639,5.55,1
33,12,674,5.55,1
33,13,674,5.55,1
34,1,152,4.06,1
34,2,174,4.58,1
34,3,201,4.81,1
34,4,227,5.12,1
34,5,258,5.27,1
34,6,469,5.48,1
34,7,528,5.51,1
34,8,556,5.58,1
34,9,579,5.93,1
34,10,613,6.36,1
34,11,639,6.17,1
34,12,674,6.07,1
34,13,674,6.13,1
35,1,152,5.16,1
35,2,174,5.43,1
35,3,201,5.71,1
35,4,227,6.08,1
35,5,258,6.21,1
35,6,469,6.37,1
35,7,528,6.38,1
35,8,556,6.41,1
35,9,579,6.64,1
35,10,613,6.82,1
35,11,639,6.89,1
35,12,674,7.11,1
35,13,674,7.14,1
36,1,152,3.81,1
36,2,174,4.12,1
36,3,201,4.42,1
36,4,227,4.62,1
36,5,258,4.6,1
36,6,469,4.74,1
36,7,528,4.76,1
36,8,556,4.94,1
36,9,579,5.1,1
36,10,613,5.21,1
36,11,639,5.23,1
36,12,674,5.22,1
36,13,674,5.23,1
37,1,152,5.09,1
37,2,174,5.62,1
37,3,201,5.9,1
37,4,227,6.36,1
37,5,258,6.49,1
37,6,469,6.72,1
37,7,528,6.72,1
37,8,556,6.74,1
37,9,579,6.87,1
37,10,613,6.87,1
37,11,639,6.87,1
37,12,674,6.83,1
37,13,674,6.97,1
38,1,152,4.13,1
38,2,174,4.71,1
38,3,201,5.27,1
38,4,227,5.56,1
38,5,258,5.72,1
38,6,469,6.06,1
38,7,528,6.06,1
38,8,556,6.21,1
38,9,579,6.44,1
38,10,613,6.66,1
38,11,639,6.71,1
38,12,674,6.65,1
38,13,674,6.64,1
39,1,152,4.85,1
39,2,174,5.36,1
39,3,201,5.52,1
39,4,227,5.96,1
39,5,258,6.13,1
39,6,469,6.22,1
39,7,528,6.24,1
39,8,556,6.41,1
39,9,579,6.58,1
39,10,613,6.78,1
39,11,639,6.83,1
39,12,674,6.82,1
39,13,674,6.8,1
40,1,152,4.11,1
40,2,174,4.62,1
40,3,201,4.95,1
40,4,227,5.28,1
40,5,258,5.43,1
40,6,469,5.8,1
40,7,528,5.8,1
40,8,556,5.87,1
40,9,579,6.2,1
40,10,613,6.44,1
40,11,639,6.44,1
40,12,674,6.4,1
40,13,674,6.44,1
41,1,152,4.95,1
41,2,174,5.39,1
41,3,201,5.82,1
41,4,227,6.42,1
41,5,258,6.48,1
41,6,469,6.61,1
41,7,528,6.61,1
41,8,556,6.66,1
41,9,579,6.73,1
41,10,613,6.83,1
41,11,639,6.9,1
41,12,674,6.83,1
41,13,674,6.63,1
42,1,152,4.36,1
42,2,174,4.65,1
42,3,201,5.04,1
42,4,227,5.38,1
42,5,258,5.47,1
42,6,469,5.48,1
42,7,528,5.48,1
42,8,556,5.47,1
42,9,579,5.84,1
42,10,613,5.97,1
42,11,639,5.93,1
42,12,674,5.95,1
42,13,674,6.01,1
43,1,152,4.05,1
43,2,174,4.65,1
43,3,201,5.09,1
43,4,227,5.44,1
43,5,258,5.6,1
43,6,469,5.79,1
43,7,528,5.8,1
43,8,556,6.07,1
43,9,579,6.14,1
43,10,613,6.3,1
43,11,639,6.32,1
43,12,674,6.34,1
43,13,674,6.42,1
44,1,152,3.76,1
44,2,174,4.27,1
44,3,201,4.59,1
44,4,227,5.1,1
44,5,258,5.25,1
44,6,469,5.41,1
44,7,528,5.44,1
44,8,556,5.48,1
44,9,579,5.93,1
44,10,613,5.97,1
44,11,639,6.08,1
44,12,674,6.29,1
44,13,674,6.24,1
45,1,152,2.84,1
45,2,174,3.25,1
45,3,201,3.69,1
45,4,227,4.16,1
45,5,258,4.21,1
45,6,469,4.3,1
45,7,528,4.3,1
45,8,556,4.45,1
45,9,579,4.59,1
45,10,613,4.74,1
45,11,639,4.84,1
45,12,674,4.64,1
45,13,674,4.64,1
46,1,152,4.33,1
46,2,174,4.8,1
46,3,201,5.09,1
46,4,227,5.42,1
46,5,258,5.61,1
46,6,469,5.85,1
46,7,528,5.88,1
46,8,556,6.01,1
46,9,579,6.22,1
46,10,613,6.45,1
46,11,639,6.55,1
46,12,674,6.55,1
46,13,674,6.55,1
47,1,152,3.99,1
47,2,174,4.55,1
47,3,201,4.91,1
47,4,227,5.26,1
47,5,258,5.3,1
47,6,469,5.69,1
47,7,528,5.69,1
47,8,556,5.9,1
47,9,579,5.89,1
47,10,613,5.98,1
47,11,639,6.05,1
47,12,674,6.25,1
47,13,674,6.25,1
48,1,152,3.5,1
48,2,174,3.75,1
48,3,201,3.97,1
48,4,227,4.71,1
48,5,258,4.85,1
48,6,469,5.01,1
48,7,528,5.02,1
48,8,556,5.27,1
48,9,579,5.45,1
48,10,613,5.59,1
48,11,639,5.67,1
48,12,674,5.83,1
48,13,674,5.86,1
49,1,152,3.31,1
49,2,174,3.45,1
49,3,201,4.16,1
49,4,227,4.48,1
49,5,258,4.54,1
49,6,469,4.72,1
49,7,528,4.74,1
49,8,556,4.93,1
49,9,579,5.07,1
49,10,613,5.26,1
49,11,639,5.26,1
49,12,674,5.35,1
49,13,674,5.35,1
50,1,152,3.03,1
50,2,174,3.55,1
50,3,201,3.97,1
50,4,227,4.4,1
50,5,258,4.58,1
50,6,469,4.47,1
50,7,528,4.47,1
50,8,556,4.66,1
50,9,579,4.8,1
50,10,613,5.1,1
50,11,639,5.08,1
50,12,674,5.12,1
50,13,674,5.12,1
51,1,152,3.27,1
51,2,174,3.83,1
51,3,201,4.44,1
51,4,227,4.8,1
51,5,258,4.89,1
51,6,469,5.08,1
51,7,528,5.09,1
51,8,556,5.34,1
51,9,579,5.63,1
51,10,613,5.81,1
51,11,639,5.93,1
51,12,674,5.94,1
51,13,674,5.94,1
52,1,152,3.56,1
52,2,174,4.18,1
52,3,201,4.7,1
52,4,227,5.27,1
52,5,258,5.28,1
52,6,469,5.5,1
52,7,528,5.5,1
52,8,556,5.77,1
52,9,579,5.98,1
52,10,613,6.05,1
52,11,639,6.19,1
52,12,674,6.14,1
52,13,674,6.14,1
53,1,152,3.39,1
53,2,174,3.73,1
53,3,201,3.92,1
53,4,227,4.11,1
53,5,258,4.15,1
53,6,469,4.49,1
53,7,528,4.52,1
53,8,556,4.82,1
53,9,579,5.18,1
53,10,613,5.26,1
53,11,639,5.32,1
53,12,674,5.28,1
53,13,674,5.28,1
54,1,152,3.72,1
54,2,174,4.16,1
54,3,201,4.55,1
54,4,227,5.03,1
54,5,258,5.02,1
54,6,469,5.16,1
54,7,528,5.16,1
54,8,556,5.28,1
54,9,579,5.52,1
54,10,613,5.7,1
54,11,639,5.7,1
54,12,674,5.67,1
54,13,674,5.67,1
55,1,152,4.53,0
55,2,174,5.05,0
55,3,201,5.18,0
55,4,227,5.41,0
55,5,258,5.42,0
55,6,469,5.71,0
55,7,528,5.71,0
55,8,556,5.96,0
55,9,579,6.17,0
55,10,613,6.34,0
55,11,639,6.44,0
55,12,674,6.46,0
55,13,674,6.43,0
56,1,152,4.97,0
56,2,174,5.32,0
56,3,201,5.83,0
56,4,227,6.29,0
56,5,258,6.45,0
56,6,469,6.61,0
56,7,528,6.61,0
56,8,556,6.79,0
56,9,579,7.13,0
56,10,613,7.24,0
56,11,639,7.32,0
56,12,674,7.29,0
56,13,674,7.35,0
57,1,152,4.37,0
57,2,174,4.81,0
57,3,201,5.03,0
57,4,227,5.19,0
57,5,258,5.4,0
57,6,469,5.57,0
57,7,528,5.59,0
57,8,556,5.82,0
57,9,579,6.03,0
57,10,613,6.17,0
57,11,639,6.32,0
57,12,674,6.25,0
57,13,674,6.29,0
58,1,152,4.58,0
58,2,174,4.99,0
58,3,201,5.37,0
58,4,227,5.68,0
58,5,258,5.93,0
58,6,469,6.14,0
58,7,528,6.17,0
58,8,556,6.43,0
58,9,579,6.56,0
58,10,613,6.69,0
58,11,639,6.81,0
58,12,674,6.82,0
58,13,674,6.76,0
59,1,152,4,0
59,2,174,4.5,0
59,3,201,4.92,0
59,4,227,5.44,0
59,5,258,5.87,0
59,6,469,6.02,0
59,7,528,6.04,0
59,8,556,6.11,0
59,9,579,6.47,0
59,10,613,6.61,0
59,11,639,6.66,0
59,12,674,6.7,0
59,13,674,6.65,0
60,1,152,4.73,0
60,2,174,5.05,0
60,3,201,5.33,0
60,4,227,5.92,0
60,5,258,6.01,0
60,6,469,6.26,0
60,7,528,6.26,0
60,8,556,6.36,0
60,9,579,6.49,0
60,10,613,6.63,0
60,11,639,6.92,0
60,12,674,6.92,0
60,13,674,6.92,0
61,1,152,5.15,0
61,2,174,5.63,0
61,3,201,6.11,0
61,4,227,6.39,0
61,5,258,6.61,0
61,6,469,6.82,0
61,7,528,6.82,0
61,8,556,6.95,0
61,9,579,7.11,0
61,10,613,7.44,0
61,11,639,7.53,0
61,12,674,7.46,0
61,13,674,7.56,0
62,1,152,4.1,0
62,2,174,4.46,0
62,3,201,4.84,0
62,4,227,5.29,0
62,5,258,5.48,0
62,6,469,5.68,0
62,7,528,5.68,0
62,8,556,5.85,0
62,9,579,5.99,0
62,10,613,6.08,0
62,11,639,6.25,0
62,12,674,6.15,0
62,13,674,6.18,0
63,1,152,3.22,0
63,2,174,3.85,0
63,3,201,4.47,0
63,4,227,4.85,0
63,5,258,5.11,0
63,6,469,5.28,0
63,7,528,5.28,0
63,8,556,5.45,0
63,9,579,5.74,0
63,10,613,5.95,0
63,11,639,6.05,0
63,12,674,6.07,0
63,13,674,6.02,0
64,1,152,2.23,0
64,2,174,2.89,0
64,3,201,3.16,0
64,4,227,3.4,0
64,5,258,3.52,0
64,6,469,3.89,0
64,7,528,3.93,0
64,8,556,4.22,0
64,9,579,4.51,0
64,10,613,4.65,0
64,11,639,4.7,0
64,12,674,4.73,0
64,13,674,4.68,0
65,1,152,3.65,0
65,2,174,4.36,0
65,3,201,4.76,0
65,4,227,5.18,0
65,5,258,5.44,0
65,6,469,5.7,0
65,7,528,5.7,0
65,8,556,5.89,0
65,9,579,6.09,0
65,10,613,6.39,0
65,11,639,6.57,0
65,12,674,6.36,0
65,13,674,6.44,0
66,1,152,3.4,0
66,2,174,3.92,0
66,3,201,4.5,0
66,4,227,4.97,0
66,5,258,5.14,0
66,6,469,5.34,0
66,7,528,5.35,0
66,8,556,5.61,0
66,9,579,5.83,0
66,10,613,6.03,0
66,11,639,6.09,0
66,12,674,5.98,0
66,13,674,5.95,0
67,1,152,5.16,0
67,2,174,5.49,0
67,3,201,5.74,0
67,4,227,6.05,0
67,5,258,6.21,0
67,6,469,6.37,0
67,7,528,6.37,0
67,8,556,6.52,0
67,9,579,6.65,0
67,10,613,6.86,0
67,11,639,6.87,0
67,12,674,6.88,0
67,13,674,6.84,0
68,1,152,4.04,0
68,2,174,4.52,0
68,3,201,5.15,0
68,4,227,5.59,0
68,5,258,5.87,0
68,6,469,5.96,0
68,7,528,5.96,0
68,8,556,6.17,0
68,9,579,6.37,0
68,10,613,6.53,0
68,11,639,6.6,0
68,12,674,6.52,0
68,13,674,6.59,0
69,1,152,4.52,0
69,2,174,4.91,0
69,3,201,5.04,0
69,4,227,5.71,0
69,5,258,5.97,0
69,6,469,6.11,0
69,7,528,6.12,0
69,8,556,6.24,0
69,9,579,6.44,0
69,10,613,6.54,0
69,11,639,6.65,0
69,12,674,6.63,0
69,13,674,6.64,0
70,1,152,4.56,0
70,2,174,5.12,0
70,3,201,5.4,0
70,4,227,5.69,0
70,5,258,5.89,0
70,6,469,6.16,0
70,7,528,6.17,0
70,8,556,6.13,0
70,9,579,6.44,0
70,10,613,6.72,0
70,11,639,6.81,0
70,12,674,6.87,0
70,13,674,6.8,0
71,1,152,4.9,0
71,2,174,5.35,0
71,3,201,5.71,0
71,4,227,6.12,0
71,5,258,6.25,0
71,6,469,6.39,0
71,7,528,6.39,0
71,8,556,6.52,0
71,9,579,6.86,0
71,10,613,7.05,0
71,11,639,7.09,0
71,12,674,6.9,0
71,13,674,6.88,0
72,1,152,4.83,0
72,2,174,5.1,0
72,3,201,5.43,0
72,4,227,5.59,0
72,5,258,6.04,0
72,6,469,6.21,0
72,7,528,6.21,0
72,8,556,6.46,0
72,9,579,6.45,0
72,10,613,6.59,0
72,11,639,6.7,0
72,12,674,6.63,0
72,13,674,6.66,0
73,1,152,5.46,0
73,2,174,5.79,0
73,3,201,6.12,0
73,4,227,6.41,0
73,5,258,6.63,0
73,6,469,6.73,0
73,7,528,6.73,0
73,8,556,6.77,0
73,9,579,6.68,0
73,10,613,6.75,0
73,11,639,6.75,0
73,12,674,6.62,0
73,13,674,6.6,0
74,1,152,4.17,0
74,2,174,4.67,0
74,3,201,5.16,0
74,4,227,5.56,0
74,5,258,5.75,0
74,6,469,6,0
74,7,528,6.02,0
74,8,556,6.14,0
74,9,579,6.28,0
74,10,613,6.55,0
74,11,639,6.66,0
74,12,674,6.63,0
74,13,674,6.63,0
75,1,152,3.35,0
75,2,174,4.05,0
75,3,201,4.51,0
75,4,227,5.22,0
75,5,258,5.44,0
75,6,469,5.79,0
75,7,528,5.82,0
75,8,556,6.05,0
75,9,579,6.29,0
75,10,613,6.22,0
75,11,639,6.39,0
75,12,674,6.47,0
75,13,674,6.42,0
76,1,152,3.33,0
76,2,174,3.82,0
76,3,201,4.38,0
76,4,227,4.99,0
76,5,258,5.17,0
76,6,469,5.4,0
76,7,528,5.4,0
76,8,556,5.73,0
76,9,579,5.85,0
76,10,613,5.75,0
76,11,639,5.99,0
76,12,674,6.1,0
76,13,674,6.15,0
77,1,152,3.41,0
77,2,174,3.68,0
77,3,201,4.03,0
77,4,227,4.28,0
77,5,258,4.54,0
77,6,469,4.52,0
77,7,528,4.57,0
77,8,556,5.01,0
77,9,579,5.13,0
77,10,613,5.11,0
77,11,639,5.3,0
77,12,674,5.46,0
77,13,674,5.35,0
78,1,152,4.5,0
78,2,174,4.8,0
78,3,201,5.28,0
78,4,227,5.83,0
78,5,258,6.16,0
78,6,469,6.33,0
78,7,528,6.34,0
78,8,556,6.56,0
78,9,579,6.63,0
78,10,613,6.75,0
78,11,639,6.89,0
78,12,674,6.96,0
78,13,674,6.94,0
79,1,152,2.99,0
79,2,174,3.61,0
79,3,201,4.48,0
79,4,227,4.91,0
79,5,258,5.06,0
79,6,469,5.23,0
79,7,528,5.25,0
79,8,556,5.56,0
79,9,579,5.95,0
79,10,613,5.98,0
79,11,639,6.21,0
79,12,674,6.28,0
79,13,674,6.34,0
