"month","day.of.month","year","temp","day.of.year","time"
6,14,"1995",93.9,165,165
6,15,"1995",89.9,166,166
6,16,"1995",84.2,167,167
6,17,"1995",79.1,168,168
6,18,"1995",82,169,169
6,19,"1995",81.7,170,170
6,20,"1995",83.7,171,171
6,21,"1995",83.7,172,172
6,22,"1995",80.8,173,173
6,23,"1995",84.4,174,174
6,24,"1995",80.8,175,175
6,25,"1995",83.8,176,176
6,26,"1995",84.6,177,177
6,27,"1995",86.6,178,178
6,28,"1995",92.6,179,179
6,29,"1995",88.7,180,180
6,30,"1995",88.9,181,181
7,1,"1995",98.9,182,182
7,2,"1995",87,183,183
7,3,"1995",82.1,184,184
7,4,"1995",82.7,185,185
7,5,"1995",82.4,186,186
7,6,"1995",86,187,187
7,7,"1995",89.2,188,188
7,8,"1995",86.9,189,189
7,9,"1995",80.9,190,190
7,10,"1995",79.6,191,191
7,11,"1995",78.7,192,192
7,12,"1995",79.3,193,193
7,13,"1995",81.1,194,194
7,14,"1995",83.4,195,195
7,15,"1995",83.4,196,196
7,16,"1995",81.3,197,197
7,17,"1995",81.8,198,198
7,18,"1995",81.7,199,199
7,19,"1995",83.9,200,200
7,20,"1995",82.1,201,201
7,21,"1995",82,202,202
7,22,"1995",82.9,203,203
7,23,"1995",83.1,204,204
7,24,"1995",83.4,205,205
7,25,"1995",82.6,206,206
7,26,"1995",83.6,207,207
7,27,"1995",81.7,208,208
7,28,"1995",85.2,209,209
7,29,"1995",83,210,210
7,30,"1995",84,211,211
7,31,"1995",82.7,212,212
8,1,"1995",80.4,213,213
8,2,"1995",81.9,214,214
8,3,"1995",84.1,215,215
8,4,"1995",85.2,216,216
8,5,"1995",83.3,217,217
8,6,"1995",82.1,218,218
8,7,"1995",81.8,219,219
8,8,"1995",82.4,220,220
8,9,"1995",83.4,221,221
8,10,"1995",84.2,222,222
8,11,"1995",85.9,223,223
8,12,"1995",83.4,224,224
8,13,"1995",83.9,225,225
8,14,"1995",83,226,226
8,15,"1995",79.2,227,227
8,16,"1995",80.2,228,228
8,17,"1995",82.6,229,229
8,18,"1995",81.8,230,230
8,19,"1995",82.6,231,231
8,20,"1995",80.8,232,232
8,21,"1995",83.2,233,233
8,22,"1995",84,234,234
8,23,"1995",78.4,235,235
8,24,"1995",79,236,236
8,25,"1995",82.8,237,237
8,26,"1995",82.6,238,238
8,27,"1995",85.6,239,239
8,28,"1995",87.1,240,240
8,29,"1995",86.8,241,241
8,30,"1995",80.8,242,242
8,31,"1995",79.8,243,243
9,1,"1995",81.1,244,244
9,2,"1995",80.9,245,245
9,3,"1995",78.2,246,246
9,4,"1995",77.3,247,247
9,5,"1995",78.3,248,248
9,6,"1995",80.2,249,249
9,7,"1995",85.3,250,250
9,8,"1995",89.5,251,251
9,9,"1995",82.6,252,252
9,10,"1995",80.1,253,253
9,11,"1995",80.1,254,254
9,12,"1995",79.4,255,255
9,13,"1995",81.6,256,256
9,14,"1995",81.4,257,257
9,15,"1995",81.2,258,258
9,16,"1995",79.6,259,259
9,17,"1995",78.8,260,260
9,18,"1995",80.4,261,261
9,19,"1995",79.1,262,262
9,20,"1995",78.2,263,263
9,21,"1995",78.2,264,264
9,22,"1995",80.2,265,265
9,23,"1995",81.3,266,266
9,24,"1995",85.8,267,267
9,25,"1995",79.2,268,268
9,26,"1995",76.9,269,269
9,27,"1995",79.8,270,270
9,28,"1995",84,271,271
9,29,"1995",86.7,272,272
9,30,"1995",80.6,273,273
10,1,"1995",76.8,274,274
10,2,"1995",78.3,275,275
10,3,"1995",72.4,276,276
10,4,"1995",71.2,277,277
10,5,"1995",73.5,278,278
10,6,"1995",74.6,279,279
10,7,"1995",73.9,280,280
10,8,"1995",72.8,281,281
10,9,"1995",73,282,282
10,10,"1995",71.8,283,283
10,11,"1995",71.4,284,284
10,12,"1995",72.8,285,285
10,13,"1995",73.1,286,286
10,14,"1995",71.5,287,287
10,15,"1995",71.2,288,288
10,16,"1995",74.1,289,289
10,17,"1995",73.5,290,290
10,18,"1995",74.8,291,291
10,19,"1995",72.7,292,292
10,20,"1995",70.3,293,293
10,21,"1995",72.4,294,294
10,22,"1995",74.4,295,295
10,23,"1995",75.8,296,296
10,24,"1995",73.2,297,297
10,25,"1995",79.9,298,298
10,26,"1995",79.5,299,299
10,27,"1995",72.2,300,300
10,28,"1995",69.2,301,301
10,29,"1995",69.7,302,302
10,30,"1995",67.5,303,303
10,31,"1995",65.8,304,304
11,1,"1995",66.4,305,305
11,2,"1995",68.8,306,306
11,3,"1995",72.1,307,307
11,4,"1995",75.6,308,308
11,5,"1995",77.8,309,309
11,6,"1995",74.2,310,310
11,7,"1995",68.5,311,311
11,8,"1995",62.1,312,312
11,9,"1995",66,313,313
11,10,"1995",65.7,314,314
11,11,"1995",62.1,315,315
11,12,"1995",60.7,316,316
11,13,"1995",60.9,317,317
11,14,"1995",61.4,318,318
11,15,"1995",63.9,319,319
11,16,"1995",62.7,320,320
11,17,"1995",65,321,321
11,18,"1995",66.4,322,322
11,19,"1995",66.5,323,323
11,20,"1995",68.5,324,324
11,21,"1995",63.5,325,325
11,22,"1995",60.4,326,326
11,23,"1995",55.6,327,327
11,24,"1995",56.1,328,328
11,25,"1995",55.7,329,329
11,26,"1995",54.8,330,330
11,27,"1995",57.9,331,331
11,28,"1995",57.5,332,332
11,29,"1995",59.9,333,333
11,30,"1995",59.9,334,334
12,1,"1995",63.7,335,335
12,2,"1995",61.6,336,336
12,3,"1995",61.6,337,337
12,4,"1995",58.6,338,338
12,5,"1995",60.9,339,339
12,6,"1995",61.4,340,340
12,7,"1995",63.3,341,341
12,8,"1995",61.1,342,342
12,9,"1995",57.2,343,343
12,10,"1995",55.7,344,344
12,11,"1995",56.7,345,345
12,12,"1995",57.9,346,346
12,13,"1995",58,347,347
12,14,"1995",56.1,348,348
12,15,"1995",58.4,349,349
12,16,"1995",55.5,350,350
12,17,"1995",56,351,351
12,18,"1995",55.8,352,352
12,19,"1995",52.9,353,353
12,20,"1995",56.8,354,354
12,21,"1995",55,355,355
12,22,"1995",59.3,356,356
12,23,"1995",58.6,357,357
12,24,"1995",58.8,358,358
12,25,"1995",56,359,359
12,26,"1995",57.2,360,360
12,27,"1995",57,361,361
12,28,"1995",56.3,362,362
12,29,"1995",58.6,363,363
12,30,"1995",59.8,364,364
12,31,"1995",60.6,365,365
1,1,"1996",60.6,1,366
1,2,"1996",64.8,2,367
1,3,"1996",64.3,3,368
1,4,"1996",60.6,4,369
1,5,"1996",57.5,5,370
1,6,"1996",55.7,6,371
1,7,"1996",58,7,372
1,8,"1996",60.7,8,373
1,9,"1996",59.1,9,374
1,10,"1996",58.4,10,375
1,11,"1996",56.7,11,376
1,12,"1996",57.1,12,377
1,13,"1996",58,13,378
1,14,"1996",56.2,14,379
1,15,"1996",56.4,15,380
1,16,"1996",55.9,16,381
1,17,"1996",51.5,17,382
1,18,"1996",51.8,18,383
1,19,"1996",53.1,19,384
1,20,"1996",54,20,385
1,21,"1996",52.4,21,386
1,22,"1996",52,22,387
1,23,"1996",56.5,23,388
1,24,"1996",53.1,24,389
1,25,"1996",53.2,25,390
1,26,"1996",60,26,391
1,27,"1996",62.3,27,392
1,28,"1996",60.2,28,393
1,29,"1996",58.9,29,394
1,30,"1996",58.8,30,395
1,31,"1996",64.4,31,396
2,1,"1996",61.8,32,397
2,2,"1996",60.3,33,398
2,3,"1996",57.1,34,399
2,4,"1996",57.2,35,400
2,5,"1996",59.1,36,401
2,6,"1996",68.2,37,402
2,7,"1996",71.4,38,403
2,8,"1996",66.4,39,404
2,9,"1996",63.7,40,405
2,10,"1996",61.7,41,406
2,11,"1996",59.6,42,407
2,12,"1996",57,43,408
2,13,"1996",61.6,44,409
2,14,"1996",62.3,45,410
2,15,"1996",59.1,46,411
2,16,"1996",60.3,47,412
2,17,"1996",58.7,48,413
2,18,"1996",55.8,49,414
2,19,"1996",58.7,50,415
2,20,"1996",61.3,51,416
2,21,"1996",59.2,52,417
2,22,"1996",59.7,53,418
2,23,"1996",69.2,54,419
2,24,"1996",62.2,55,420
2,25,"1996",60.4,56,421
2,26,"1996",56.2,57,422
2,27,"1996",55.8,58,423
2,28,"1996",58.6,59,424
2,29,"1996",71.9,60,425
3,1,"1996",65.1,61,426
3,2,"1996",59.9,62,427
3,3,"1996",61.8,63,428
3,4,"1996",64.7,64,429
3,5,"1996",70.5,65,430
3,6,"1996",56.4,66,431
3,7,"1996",53,67,432
3,8,"1996",60.3,68,433
3,9,"1996",64.8,69,434
3,10,"1996",60.8,70,435
3,11,"1996",59,71,436
3,12,"1996",60.9,72,437
3,13,"1996",71.3,73,438
3,14,"1996",75.1,74,439
3,15,"1996",70.6,75,440
3,16,"1996",70.8,76,441
3,17,"1996",63.6,77,442
3,18,"1996",60.6,78,443
3,19,"1996",61.9,79,444
3,20,"1996",62.7,80,445
3,21,"1996",62.7,81,446
3,22,"1996",62.1,82,447
3,23,"1996",59,83,448
3,24,"1996",55.8,84,449
3,25,"1996",55.7,85,450
3,26,"1996",56.8,86,451
3,27,"1996",68.3,87,452
3,28,"1996",75.3,88,453
3,29,"1996",83.7,89,454
3,30,"1996",68.4,90,455
3,31,"1996",65.9,91,456
4,1,"1996",71.9,92,457
4,2,"1996",65.6,93,458
4,3,"1996",67.1,94,459
4,4,"1996",66.4,95,460
4,5,"1996",69.7,96,461
4,6,"1996",65.6,97,462
4,7,"1996",69.1,98,463
4,8,"1996",62.9,99,464
4,9,"1996",62.2,100,465
4,10,"1996",65.5,101,466
4,11,"1996",65.6,102,467
4,12,"1996",64,103,468
4,13,"1996",65.5,104,469
4,14,"1996",63.6,105,470
4,15,"1996",74.7,106,471
4,16,"1996",82.5,107,472
4,17,"1996",66.1,108,473
4,18,"1996",64.3,109,474
4,19,"1996",70.5,110,475
4,20,"1996",67.4,111,476
4,21,"1996",61.2,112,477
4,22,"1996",62.3,113,478
4,23,"1996",61,114,479
4,24,"1996",63.2,115,480
4,25,"1996",63.6,116,481
4,26,"1996",69.4,117,482
4,27,"1996",72.8,118,483
4,28,"1996",84.4,119,484
4,29,"1996",80.1,120,485
4,30,"1996",85.7,121,486
5,1,"1996",84.5,122,487
5,2,"1996",71.3,123,488
5,3,"1996",72,124,489
5,4,"1996",69.1,125,490
5,5,"1996",74.1,126,491
5,6,"1996",76.1,127,492
5,7,"1996",78.5,128,493
5,8,"1996",83.2,129,494
5,9,"1996",78.7,130,495
5,10,"1996",82,131,496
5,11,"1996",89.7,132,497
5,12,"1996",81.4,133,498
5,13,"1996",77.1,134,499
5,14,"1996",84.9,135,500
5,15,"1996",72.6,136,501
5,16,"1996",74.5,137,502
5,17,"1996",76,138,503
5,18,"1996",76,139,504
5,19,"1996",71.6,140,505
5,20,"1996",73.5,141,506
5,21,"1996",78.3,142,507
5,22,"1996",79.7,143,508
5,23,"1996",81.5,144,509
5,24,"1996",80.6,145,510
5,25,"1996",80.5,146,511
5,26,"1996",78.8,147,512
5,27,"1996",78.4,148,513
5,28,"1996",75.4,149,514
5,29,"1996",83.2,150,515
5,30,"1996",77.4,151,516
5,31,"1996",77.4,152,517
6,1,"1996",76.3,153,518
6,2,"1996",73.9,154,519
6,3,"1996",74.6,155,520
6,4,"1996",73.7,156,521
6,5,"1996",78,157,522
6,6,"1996",77.7,158,523
6,7,"1996",83.7,159,524
6,8,"1996",84.4,160,525
6,9,"1996",78.7,161,526
6,10,"1996",76.9,162,527
6,11,"1996",79.8,163,528
6,12,"1996",82.2,164,529
6,13,"1996",81.2,165,530
6,14,"1996",82.1,166,531
6,15,"1996",79.6,167,532
6,16,"1996",78.5,168,533
6,17,"1996",78,169,534
6,18,"1996",76.8,170,535
6,19,"1996",78.8,171,536
6,20,"1996",78.9,172,537
6,21,"1996",79.3,173,538
6,22,"1996",80.1,174,539
6,23,"1996",79.3,175,540
6,24,"1996",82.9,176,541
6,25,"1996",83.2,177,542
6,26,"1996",89.2,178,543
6,27,"1996",87.5,179,544
6,28,"1996",85.1,180,545
6,29,"1996",78.3,181,546
6,30,"1996",77.5,182,547
7,1,"1996",76.1,183,548
7,2,"1996",78.4,184,549
7,3,"1996",81,185,550
7,4,"1996",84.5,186,551
7,5,"1996",86,187,552
7,6,"1996",85,188,553
7,7,"1996",84,189,554
7,8,"1996",86,190,555
7,9,"1996",85.9,191,556
7,10,"1996",86.3,192,557
7,11,"1996",81.4,193,558
7,12,"1996",79.7,194,559
7,13,"1996",77.5,195,560
7,14,"1996",79,196,561
7,15,"1996",77.9,197,562
7,16,"1996",79.8,198,563
7,17,"1996",81.5,199,564
7,18,"1996",81.8,200,565
7,19,"1996",82.3,201,566
7,20,"1996",81.6,202,567
7,21,"1996",81,203,568
7,22,"1996",79,204,569
7,23,"1996",76.8,205,570
7,24,"1996",77,206,571
7,25,"1996",80.1,207,572
7,26,"1996",82.9,208,573
7,27,"1996",83.8,209,574
7,28,"1996",82.4,210,575
7,29,"1996",84.3,211,576
7,30,"1996",82.7,212,577
7,31,"1996",85.6,213,578
8,1,"1996",86.7,214,579
8,2,"1996",88,215,580
8,3,"1996",81.8,216,581
8,4,"1996",82.1,217,582
8,5,"1996",83,218,583
8,6,"1996",82,219,584
8,7,"1996",82.9,220,585
8,8,"1996",82.4,221,586
8,9,"1996",85.8,222,587
8,10,"1996",83.6,223,588
8,11,"1996",82.4,224,589
8,12,"1996",81,225,590
8,13,"1996",80.4,226,591
8,14,"1996",78.8,227,592
8,15,"1996",81.2,228,593
8,16,"1996",82.1,229,594
8,17,"1996",84,230,595
8,18,"1996",81.4,231,596
8,19,"1996",82.1,232,597
8,20,"1996",84.2,233,598
8,21,"1996",82.3,234,599
8,22,"1996",78.7,235,600
8,23,"1996",81.1,236,601
8,24,"1996",82.8,237,602
8,25,"1996",81.4,238,603
8,26,"1996",77.8,239,604
8,27,"1996",78.9,240,605
8,28,"1996",81.1,241,606
8,29,"1996",82.5,242,607
8,30,"1996",82.8,243,608
8,31,"1996",81.2,244,609
9,1,"1996",81.2,245,610
9,2,"1996",80.4,246,611
9,3,"1996",81.5,247,612
9,4,"1996",80.8,248,613
9,5,"1996",90.6,249,614
9,6,"1996",90.7,250,615
9,7,"1996",80.8,251,616
9,8,"1996",86.2,252,617
9,9,"1996",80.4,253,618
9,10,"1996",77.3,254,619
9,11,"1996",76.8,255,620
9,12,"1996",74.9,256,621
9,13,"1996",81.3,257,622
9,14,"1996",80.3,258,623
9,15,"1996",85.5,259,624
9,16,"1996",76.8,260,625
9,17,"1996",77,261,626
9,18,"1996",80.8,262,627
9,19,"1996",85.3,263,628
9,20,"1996",94.4,264,629
9,21,"1996",85.4,265,630
9,22,"1996",78,266,631
9,23,"1996",79.5,267,632
9,24,"1996",84.6,268,633
9,25,"1996",79.9,269,634
9,26,"1996",77.7,270,635
9,27,"1996",79.4,271,636
9,28,"1996",77.9,272,637
9,29,"1996",78.5,273,638
9,30,"1996",77.3,274,639
10,1,"1996",79.3,275,640
10,2,"1996",78.6,276,641
10,3,"1996",77.1,277,642
10,4,"1996",76.5,278,643
10,5,"1996",76.7,279,644
10,6,"1996",74.8,280,645
10,7,"1996",76.5,281,646
10,8,"1996",74.1,282,647
10,9,"1996",77.1,283,648
10,10,"1996",82.7,284,649
10,11,"1996",77.9,285,650
10,12,"1996",74.1,286,651
10,13,"1996",73.1,287,652
10,14,"1996",71.9,288,653
10,15,"1996",69.7,289,654
10,16,"1996",68.5,290,655
10,17,"1996",74.7,291,656
10,18,"1996",80.3,292,657
10,19,"1996",75.3,293,658
10,20,"1996",75.3,294,659
10,21,"1996",74.7,295,660
10,22,"1996",71.3,296,661
10,23,"1996",72,297,662
10,24,"1996",73.1,298,663
10,25,"1996",71.2,299,664
10,26,"1996",68.6,300,665
10,27,"1996",66.4,301,666
10,28,"1996",67.6,302,667
10,29,"1996",64.6,303,668
10,30,"1996",65,304,669
10,31,"1996",65.5,305,670
11,1,"1996",67.5,306,671
11,2,"1996",68.2,307,672
11,3,"1996",69.5,308,673
11,4,"1996",68.4,309,674
11,5,"1996",66.1,310,675
11,6,"1996",66.2,311,676
11,7,"1996",65.4,312,677
11,8,"1996",68.4,313,678
11,9,"1996",68.4,314,679
11,10,"1996",70.7,315,680
11,11,"1996",70.5,316,681
11,12,"1996",65.8,317,682
11,13,"1996",68.3,318,683
11,14,"1996",68.1,319,684
11,15,"1996",68.7,320,685
11,16,"1996",69.2,321,686
11,17,"1996",71.4,322,687
11,18,"1996",70.3,323,688
11,19,"1996",70.2,324,689
11,20,"1996",66.3,325,690
11,21,"1996",66.9,326,691
11,22,"1996",65.9,327,692
11,23,"1996",66.1,328,693
11,24,"1996",65.9,329,694
11,25,"1996",66.3,330,695
11,26,"1996",66.4,331,696
11,27,"1996",65.1,332,697
11,28,"1996",65.7,333,698
11,29,"1996",65.5,334,699
11,30,"1996",63.4,335,700
12,1,"1996",62.8,336,701
12,2,"1996",60.3,337,702
12,3,"1996",63.5,338,703
12,4,"1996",61.2,339,704
12,5,"1996",62,340,705
12,6,"1996",64.7,341,706
12,7,"1996",61.2,342,707
12,8,"1996",59.4,343,708
12,9,"1996",60.8,344,709
12,10,"1996",58.4,345,710
12,11,"1996",58.1,346,711
12,12,"1996",59.3,347,712
12,13,"1996",61.8,348,713
12,14,"1996",60.6,349,714
12,15,"1996",58.8,350,715
12,16,"1996",59,351,716
12,17,"1996",60.2,352,717
12,18,"1996",57.7,353,718
12,19,"1996",58.3,354,719
12,20,"1996",62,355,720
12,21,"1996",60.6,356,721
12,22,"1996",59.4,357,722
12,23,"1996",60.9,358,723
12,24,"1996",58.7,359,724
12,25,"1996",60.3,360,725
12,26,"1996",65.1,361,726
12,27,"1996",66.9,362,727
12,28,"1996",61.4,363,728
12,29,"1996",57.4,364,729
12,30,"1996",56.5,365,730
12,31,"1996",57.2,366,731
1,1,"1997",58.5,1,732
1,2,"1997",59.9,2,733
1,3,"1997",61,3,734
1,4,"1997",58.8,4,735
1,5,"1997",55.6,5,736
1,6,"1997",61.4,6,737
1,7,"1997",66.6,7,738
1,8,"1997",70.5,8,739
1,9,"1997",63.4,9,740
1,10,"1997",60.6,10,741
1,11,"1997",64.4,11,742
1,12,"1997",66.2,12,743
1,13,"1997",61.3,13,744
1,14,"1997",56.2,14,745
1,15,"1997",58.3,15,746
1,16,"1997",56.7,16,747
1,17,"1997",58.4,17,748
1,18,"1997",57.9,18,749
1,19,"1997",56.3,19,750
1,20,"1997",54.9,20,751
1,21,"1997",56.3,21,752
1,22,"1997",57.2,22,753
1,23,"1997",53.8,23,754
1,24,"1997",56.4,24,755
1,25,"1997",56.8,25,756
1,26,"1997",56.4,26,757
1,27,"1997",56.4,27,758
1,28,"1997",55.4,28,759
1,29,"1997",55.8,29,760
1,30,"1997",53.4,30,761
1,31,"1997",58.4,31,762
2,1,"1997",56.2,32,763
2,2,"1997",56.3,33,764
2,3,"1997",54.5,34,765
2,4,"1997",50.2,35,766
2,5,"1997",51,36,767
2,6,"1997",50,37,768
2,7,"1997",52.6,38,769
2,8,"1997",52.8,39,770
2,9,"1997",56.4,40,771
2,10,"1997",55.2,41,772
2,11,"1997",56.2,42,773
2,12,"1997",54.5,43,774
2,13,"1997",56.6,44,775
2,14,"1997",58.5,45,776
2,15,"1997",63.6,46,777
2,16,"1997",62.9,47,778
2,17,"1997",61.8,48,779
2,18,"1997",63.1,49,780
2,19,"1997",61.3,50,781
2,20,"1997",59.1,51,782
2,21,"1997",54.8,52,783
2,22,"1997",52.8,53,784
2,23,"1997",57.1,54,785
2,24,"1997",56.5,55,786
2,25,"1997",53,56,787
2,26,"1997",56.2,57,788
2,27,"1997",57.4,58,789
2,28,"1997",66.9,59,790
3,1,"1997",62.9,60,791
3,2,"1997",57.6,61,792
3,3,"1997",57,62,793
3,4,"1997",57.6,63,794
3,5,"1997",59.4,64,795
3,6,"1997",60.6,65,796
3,7,"1997",57,66,797
3,8,"1997",54.8,67,798
3,9,"1997",57.3,68,799
3,10,"1997",61.4,69,800
3,11,"1997",59.3,70,801
3,12,"1997",63.3,71,802
3,13,"1997",61.6,72,803
3,14,"1997",60.5,73,804
3,15,"1997",59.6,74,805
3,16,"1997",58,75,806
3,17,"1997",60.2,76,807
3,18,"1997",61.4,77,808
3,19,"1997",62.1,78,809
3,20,"1997",64.4,79,810
3,21,"1997",71.2,80,811
3,22,"1997",60.2,81,812
3,23,"1997",57.9,82,813
3,24,"1997",57.1,83,814
3,25,"1997",55.7,84,815
3,26,"1997",61.4,85,816
3,27,"1997",60,86,817
3,28,"1997",61.2,87,818
3,29,"1997",61.2,88,819
3,30,"1997",64.9,89,820
3,31,"1997",71.4,90,821
4,1,"1997",65.7,91,822
4,2,"1997",64.9,92,823
4,3,"1997",66,93,824
4,4,"1997",65.2,94,825
4,5,"1997",66.3,95,826
4,6,"1997",62.7,96,827
4,7,"1997",63.2,97,828
4,8,"1997",62.9,98,829
4,9,"1997",56.6,99,830
4,10,"1997",53.5,100,831
4,11,"1997",56.1,101,832
4,12,"1997",60.7,102,833
4,13,"1997",72.8,103,834
4,14,"1997",66.1,104,835
4,15,"1997",61.7,105,836
4,16,"1997",61.6,106,837
4,17,"1997",63.8,107,838
4,18,"1997",71.1,108,839
4,19,"1997",72.6,109,840
4,20,"1997",75.5,110,841
4,21,"1997",75.2,111,842
4,22,"1997",84.7,112,843
4,23,"1997",88.7,113,844
4,24,"1997",73.2,114,845
4,25,"1997",67.1,115,846
4,26,"1997",64.2,116,847
4,27,"1997",64.5,117,848
4,28,"1997",65.1,118,849
4,29,"1997",67.1,119,850
4,30,"1997",74,120,851
5,1,"1997",78.2,121,852
5,2,"1997",81.8,122,853
5,3,"1997",67.5,123,854
5,4,"1997",67.1,124,855
5,5,"1997",68.9,125,856
5,6,"1997",69.4,126,857
5,7,"1997",69.7,127,858
5,8,"1997",75,128,859
5,9,"1997",78.3,129,860
5,10,"1997",76.9,130,861
5,11,"1997",73.5,131,862
5,12,"1997",74.7,132,863
5,13,"1997",73.1,133,864
5,14,"1997",77.2,134,865
5,15,"1997",76.8,135,866
5,16,"1997",85.2,136,867
5,17,"1997",84.8,137,868
5,18,"1997",87.2,138,869
5,19,"1997",78.4,139,870
5,20,"1997",75.8,140,871
5,21,"1997",80.3,141,872
5,22,"1997",79.3,142,873
5,23,"1997",84.7,143,874
5,24,"1997",81.8,144,875
5,25,"1997",78.2,145,876
5,26,"1997",77.8,146,877
5,27,"1997",76,147,878
5,28,"1997",76.6,148,879
5,29,"1997",81.4,149,880
5,30,"1997",79.5,150,881
5,31,"1997",80.8,151,882
