"s","d","studage","lectage","service","dept","y"
"1970","939","8","6","1","14",1
"2132","1692","8","2","1","1",3
"1391","1173","2","1","0","6",2
"1927","944","2","1","1","11",5
"519","2013","6","5","1","11",1
"1338","1203","4","3","1","3",5
"1182","1564","8","5","0","2",2
"2259","1049","2","1","1","2",2
"836","2076","4","1","0","1",3
"2379","155","6","1","0","15",5
"905","1191","6","1","0","12",3
"1514","358","8","5","0","9",2
"2220","13","4","1","0","10",1
"475","1558","6","2","1","15",3
"171","193","8","3","1","10",4
"1630","1028","6","6","0","4",2
"2116","1084","4","4","1","9",2
"2645","1756","4","2","1","11",1
"155","2002","8","5","1","8",2
"1251","842","4","3","0","5",3
"1935","34","6","3","1","14",2
"593","18","8","1","0","10",1
"1550","842","4","1","0","5",5
"515","125","8","1","0","5",4
"113","487","6","4","1","14",5
"2222","734","6","6","1","11",3
"1416","2121","4","2","1","2",3
"454","45","4","5","0","5",5
"1135","842","4","1","0","5",3
"846","695","8","1","0","10",5
"1752","728","6","3","0","3",3
"2486","432","2","1","0","3",1
"2715","680","8","2","0","15",2
"283","1867","6","1","0","9",4
"880","1086","2","2","1","6",4
"1438","25","2","1","0","5",2
"1597","53","8","6","0","9",2
"1114","420","6","1","0","9",5
"1214","1161","4","3","1","11",3
"1198","2083","2","2","0","6",5
"968","1173","6","3","1","6",2
"2014","1314","4","1","1","12",5
"2517","1056","8","6","1","8",4
"2276","1449","8","6","1","4",5
"294","2048","8","2","1","1",4
"2681","1711","4","2","0","3",5
"2357","626","6","2","1","14",4
"1766","1431","8","1","1","12",5
"2187","63","2","2","0","10",3
"478","1724","6","6","0","5",3
"2925","445","8","2","0","10",4
"810","1881","2","1","0","3",5
"1641","419","6","3","1","8",5
"2702","1575","8","5","1","12",3
"527","1578","2","2","1","12",3
"2924","1161","4","3","1","11",2
"2904","835","6","3","1","8",4
"1514","182","8","6","1","14",4
"830","1963","4","1","0","6",5
"84","1026","6","5","0","15",2
"144","964","4","3","1","8",5
"990","1059","2","1","0","6",3
"147","1829","8","4","0","9",4
"2249","273","4","1","0","10",1
"2569","417","6","6","0","12",3
"1971","494","2","5","1","9",3
"1246","1510","2","1","0","6",4
"495","1587","6","1","1","1",2
"1535","352","6","1","0","15",1
"1462","1780","4","3","1","11",1
"2531","1780","8","6","1","11",1
"2632","2083","2","2","0","6",3
"1673","214","2","2","1","4",2
"1707","367","2","1","1","6",2
"1957","1747","4","2","0","4",4
"1838","587","8","6","0","9",3
"33","945","8","6","1","4",2
"1325","363","6","6","1","6",5
"2732","273","6","3","0","10",1
"184","8","4","3","0","12",1
"2901","401","8","6","0","4",5
"2471","1366","8","3","0","6",3
"389","240","6","4","0","3",4
"218","45","6","6","0","5",3
"869","1537","8","6","1","12",3
"1398","1027","8","4","0","4",3
"226","1002","2","6","1","2",4
"47","64","6","3","0","7",4
"1446","721","6","1","1","8",1
"72","1263","8","3","1","14",5
"910","1383","8","4","0","14",4
"864","1421","8","1","1","4",3
"2806","236","4","5","0","5",2
"1058","616","8","5","0","7",4
"1742","214","4","1","0","4",4
"1474","56","6","1","0","12",3
"284","1694","4","2","1","2",2
"593","377","8","3","0","10",2
"675","1764","4","1","1","5",2
"2246","1575","8","5","1","12",5
"15","1322","2","2","0","14",3
"836","1631","4","2","0","1",3
"716","296","2","1","1","11",3
"2272","420","8","4","0","9",5
"1445","369","4","2","1","6",5
"1062","240","4","5","0","3",5
"557","507","2","6","0","11",5
"43","1874","6","5","0","15",5
"2538","1755","4","2","1","11",4
"2967","1173","6","3","1","6",2
"225","41","8","3","0","15",5
"928","358","6","5","0","9",1
"134","2029","8","4","1","8",5
"265","737","4","2","0","4",4
"2120","1284","2","2","0","4",2
"2444","1919","2","1","0","3",4
"983","664","8","6","1","11",5
"787","129","6","2","1","14",1
"854","204","6","3","0","12",5
"1915","1418","6","4","1","8",4
"126","801","4","3","0","5",5
"998","1275","4","4","0","11",4
"948","494","8","6","1","9",3
"905","438","6","2","1","1",4
"1207","524","8","3","0","4",4
"2776","602","6","5","0","12",2
"1512","1736","2","2","1","12",5
"591","2147","4","2","1","14",4
"1837","377","6","2","0","10",1
"1466","1665","8","1","0","10",1
"1567","675","2","1","0","12",3
"566","1566","2","1","1","9",4
"1873","1207","6","5","0","9",5
"2605","53","6","1","0","9",2
"1629","2002","8","3","1","8",4
"1482","587","8","6","0","9",4
"1777","252","2","1","1","6",4
"2219","1029","6","1","0","1",4
"740","477","8","6","1","8",4
"1289","429","6","2","0","10",4
"2307","721","2","2","1","8",2
"168","1185","6","6","0","4",1
"2769","19","4","1","0","15",2
"2653","1104","8","6","0","7",3
"2729","1818","6","2","0","10",5
"1775","1301","6","4","0","12",1
"2794","1755","8","5","1","11",1
"1438","1425","2","1","1","11",3
"1732","15","8","5","0","7",3
"2388","446","4","3","0","6",3
"328","1877","8","6","1","7",2
"2698","849","6","5","1","2",5
"519","442","6","1","0","1",3
"1410","1241","8","1","0","4",5
"389","523","6","2","1","14",3
"435","732","6","3","1","8",4
"182","527","6","2","0","15",4
"2161","317","8","5","0","10",4
"479","944","2","1","1","11",4
"1714","1676","2","1","1","6",4
"83","438","6","6","1","1",4
"55","672","6","6","1","1",4
"1356","64","6","2","0","7",4
"15","1988","2","2","0","14",4
"2891","1784","4","3","1","9",3
"1235","1780","6","5","1","11",2
"667","157","8","2","0","11",5
"2314","272","6","1","1","8",5
"1970","802","8","6","0","9",4
"311","179","2","1","0","12",2
"2196","260","6","3","0","12",3
"1743","668","8","1","0","10",3
"1931","164","2","2","0","1",2
"1421","1367","8","5","0","3",3
"363","971","6","4","1","15",4
"2142","2079","4","3","1","11",5
"1520","1764","4","1","1","5",5
"688","474","4","4","0","1",2
"1186","1513","2","1","0","12",5
"1583","70","4","6","1","11",4
"654","1578","6","6","1","12",5
"1591","856","4","6","1","9",2
"1310","562","2","2","0","6",1
"2958","1461","2","1","0","5",1
"1761","140","8","2","1","10",4
"595","1119","2","2","0","9",3
"2063","900","8","5","0","7",4
"922","1384","4","1","0","10",4
"510","1822","4","1","0","15",3
"818","732","6","4","1","8",5
"2733","1729","2","6","0","12",2
"2002","1528","8","2","1","6",1
"942","1263","4","1","1","14",2
"1197","1902","4","3","1","8",2
"1869","1255","2","1","0","12",2
"2901","1537","8","6","1","12",4
"1958","1281","6","2","0","6",1
"1472","544","8","3","1","5",5
"573","369","2","1","0","6",4
"553","307","6","6","1","2",5
"1241","1946","6","1","0","7",3
"442","228","8","1","0","9",4
"37","1673","6","3","1","1",4
"847","17","4","3","1","2",4
"2795","1949","6","1","1","8",3
"1045","1267","2","2","1","2",5
"1490","1780","2","1","1","11",2
"1521","2025","8","4","0","6",2
"2094","1548","2","2","0","1",5
"2397","240","4","4","0","3",5
"147","624","8","6","0","9",2
"1782","240","4","4","0","3",5
"2814","2097","6","2","0","2",3
"1138","1797","6","1","0","14",3
"2246","454","8","5","0","6",2
"2364","1925","4","3","1","6",2
"2657","669","6","2","0","4",2
"2902","477","8","6","1","8",4
"408","1090","8","3","1","5",4
"1683","962","4","3","0","4",2
"2641","1008","2","2","1","8",4
"337","1841","8","6","0","12",2
"1234","135","6","5","0","14",2
"1877","466","2","3","0","10",2
"967","119","6","1","0","3",3
"2569","361","6","4","0","12",4
"809","139","6","1","0","12",1
"1064","1842","2","1","1","3",5
"2712","2083","4","6","1","6",1
"1111","1317","4","1","0","5",4
"1598","1292","8","2","1","14",2
"2076","1502","6","2","1","6",3
"1009","296","8","6","1","11",5
"960","1364","8","5","1","8",1
"1773","2064","8","1","0","10",4
"204","936","8","5","1","6",2
"1368","2079","6","5","1","11",3
"401","1437","8","4","0","10",3
"1241","1747","6","4","1","4",4
"1393","1004","6","2","0","10",5
"1793","1302","6","2","0","9",4
"2568","349","8","3","1","15",4
"2575","2147","8","3","0","14",3
"2068","527","8","3","0","15",3
"1163","1705","4","3","1","11",5
"462","1453","4","3","0","6",3
"1769","622","6","2","0","11",4
"1526","19","8","4","0","15",4
"1261","1312","2","1","0","9",4
"543","624","2","1","0","9",5
"207","888","8","3","1","15",4
"2499","13","6","1","0","10",5
"1330","377","2","2","0","10",3
"2143","2036","6","6","1","8",4
"2174","378","8","3","0","5",4
"1425","1361","8","4","0","2",5
"2605","802","6","6","0","9",4
"1398","1537","8","6","1","12",4
"648","1161","6","1","0","11",4
"1028","1504","4","1","1","11",5
"970","622","4","2","1","11",2
"343","1812","4","1","0","1",5
"1122","1275","2","4","1","11",3
"1013","1086","2","2","0","6",2
"2970","1186","8","4","0","4",4
"1825","583","4","4","1","11",1
"225","455","8","1","0","15",3
"2426","1284","2","2","1","4",2
"2957","1959","6","3","1","6",1
"1486","281","6","2","0","6",5
"1753","1038","8","3","0","12",1
"2858","1264","4","3","1","11",3
"845","1938","6","2","1","8",5
"704","96","2","1","0","11",2
"1773","678","8","2","0","10",3
"72","1219","8","6","1","6",3
"403","925","6","2","0","15",5
"780","817","6","3","1","4",4
"741","1087","8","3","1","1",5
"758","150","4","2","1","8",3
"1316","1755","8","6","1","11",3
"711","842","6","2","0","5",3
"502","1817","4","4","1","11",2
"67","2149","8","4","0","12",1
"409","787","4","2","1","12",3
"834","855","6","2","0","7",1
"906","945","4","4","1","4",1
"1166","367","6","4","0","6",3
"2663","1049","4","2","1","2",2
"599","935","4","2","1","8",5
"596","1594","2","1","1","4",1
"1881","827","6","4","1","12",3
"153","1603","4","4","0","15",4
"2532","1207","2","3","1","9",2
"839","17","6","1","0","2",5
"1508","1267","4","4","0","2",3
"2061","1959","4","1","1","6",2
"690","1722","2","1","1","11",5
"1736","1471","6","3","1","6",5
"1127","73","8","1","0","9",5
"62","593","6","6","0","12",4
"1787","264","2","2","1","11",3
"1706","1780","4","4","1","11",1
"2729","695","6","2","0","10",4
"2330","2034","6","5","1","6",1
"1710","1056","8","2","1","8",3
"328","67","8","1","1","4",4
"1364","1615","2","2","1","1",3
"1737","672","8","6","1","1",4
"2845","1323","8","6","1","2",2
"343","664","4","4","1","11",1
"1526","584","8","6","0","15",3
"513","1018","2","2","0","3",1
"2560","365","8","4","1","10",3
"749","945","4","4","1","4",5
"1354","664","8","3","0","11",5
"2845","231","8","1","0","4",5
"1126","1500","4","3","1","12",4
"976","1510","2","1","0","6",2
"766","2057","2","2","0","5",2
"286","989","4","2","0","14",1
"1995","827","2","2","1","12",3
"2765","1500","2","1","1","12",2
"956","375","6","5","1","1",2
"702","554","6","5","1","6",5
"1807","1893","2","2","0","9",5
"410","1468","6","3","0","11",3
"362","135","4","3","0","14",1
"1660","1264","4","3","1","11",4
"1661","17","4","3","1","2",2
"906","1030","4","2","1","6",4
"148","945","6","5","0","4",1
"399","838","8","3","0","12",1
"766","2113","2","1","0","5",4
"2585","2034","8","6","1","6",2
"2232","1233","6","1","0","4",3
"63","676","6","6","1","4",3
"1966","358","8","6","0","9",2
"1847","1191","6","1","1","12",1
"151","1169","6","5","0","4",4
"1140","377","4","4","0","10",3
"1366","1161","8","6","1","11",4
"623","1804","8","1","0","4",4
"428","827","8","6","1","12",1
"2368","1579","4","1","0","7",4
"1367","100","8","1","1","5",3
"1619","1119","2","2","0","9",2
"459","526","8","3","0","7",1
"2460","1984","8","6","0","10",2
"2064","1749","6","4","0","10",1
"1779","1575","6","2","0","12",5
"308","845","6","2","0","10",3
"1475","1041","2","1","0","5",2
"1237","474","4","4","1","1",1
"218","1023","6","2","0","5",1
"1209","401","4","3","1","4",3
"1783","2076","2","2","1","1",5
"337","1931","8","3","0","12",1
"876","1780","2","2","1","11",3
"2297","873","6","3","0","9",5
"402","126","6","6","0","7",3
"2240","2002","4","4","1","8",5
"1403","548","6","5","0","7",3
"2437","15","4","1","0","7",2
"2542","1244","8","6","0","3",5
"348","1565","8","2","0","3",5
"2416","2025","4","3","0","6",5
"1114","587","6","1","0","9",4
"1889","682","4","1","0","4",2
"1648","849","8","6","1","2",5
"2167","258","6","1","1","8",2
"2821","324","4","3","0","5",5
"2039","401","6","5","0","4",2
"567","624","2","1","0","9",5
"2463","13","4","1","0","10",4
"1959","582","4","1","0","8",2
"2109","903","2","2","0","15",3
"2559","1889","4","1","1","12",1
"1614","621","4","1","1","2",1
"2330","1012","6","2","1","2",5
"2303","842","2","1","0","5",2
"724","538","2","2","1","11",4
"2428","115","4","1","0","5",4
"2147","150","2","1","1","8",4
"1139","1461","2","1","0","5",1
"631","53","4","1","1","9",4
"1611","1952","8","6","1","8",3
"1853","1809","8","6","1","2",2
"1887","624","8","6","0","9",5
"2769","369","4","3","1","6",1
"1458","2077","8","4","0","4",4
"2183","790","6","2","0","11",5
"980","1694","4","1","0","2",3
"1098","1035","8","3","0","4",3
"77","612","6","3","0","14",3
"863","587","8","6","0","9",3
"2790","1817","4","4","1","11",2
"1423","1410","4","2","1","1",4
"1463","1817","2","2","1","11",1
"1654","977","2","2","0","6",3
"1130","115","4","1","0","5",2
"726","1711","6","4","1","3",5
"2748","1461","2","1","0","5",5
"1781","1229","8","6","1","8",1
"1703","408","4","1","1","12",4
"1895","866","4","5","0","2",2
"1061","1314","6","1","0","12",3
"69","1171","4","6","1","14",4
"336","939","6","2","1","14",2
"289","296","2","1","1","11",4
"299","1566","2","1","1","9",4
"769","1036","2","2","1","7",2
"998","1694","4","2","1","2",2
"211","489","6","5","0","15",4
"1753","294","8","4","0","12",4
"318","297","2","2","1","9",4
"434","599","4","3","0","5",4
"1840","2034","2","1","1","6",4
"310","114","2","1","0","6",3
"62","1038","6","3","0","12",1
"2757","1018","4","4","0","3",1
"2735","1314","4","1","0","12",5
"2605","587","6","2","0","9",3
"2406","827","2","1","1","12",5
"1009","1502","8","2","1","6",5
"800","1084","2","2","1","9",1
"2697","2052","4","1","0","14",5
"2557","1543","8","6","0","4",1
"1533","1314","4","1","0","12",4
"2471","139","8","6","1","12",5
"2408","613","8","4","1","8",1
"1204","1418","6","2","1","8",2
"1412","2043","6","4","1","6",3
"1407","67","6","4","1","4",2
"2870","1686","8","2","1","8",5
"2014","1780","4","3","1","11",1
"2370","1025","6","4","0","4",5
"1392","554","2","1","1","6",2
"867","538","4","1","1","11",3
"2426","1594","2","1","1","4",4
"1263","63","6","6","0","10",3
"2600","944","2","1","1","11",3
"1783","1528","2","1","0","6",1
"2606","66","2","1","1","11",5
"2970","1513","8","1","1","12",4
"1777","220","2","1","0","12",4
"1129","1471","4","3","1","6",3
"1146","624","8","1","0","9",4
"1718","1892","6","1","0","12",3
"2216","297","2","2","1","9",1
"1672","1038","6","3","0","12",1
"2474","304","2","1","0","6",2
"2153","275","6","1","0","3",5
"2876","1537","4","3","1","12",4
"551","944","2","1","1","11",5
"2390","536","8","1","0","5",3
"2353","852","8","1","0","12",2
"248","1023","8","3","0","5",3
"75","197","8","5","0","9",5
"2072","1140","6","1","0","12",5
"2950","1521","8","6","0","12",3
"988","1722","4","3","1","11",5
"2611","944","6","5","1","11",5
"2815","1047","6","1","0","12",5
"2950","692","8","6","0","12",4
"1357","352","4","4","1","15",3
"2381","1049","2","1","1","2",2
"756","696","2","2","1","9",1
"430","2079","2","1","1","11",1
"1994","150","4","1","1","8",2
"106","475","6","6","1","11",5
"1419","734","6","6","1","11",2
"310","2053","2","2","0","6",5
"1896","675","2","1","0","12",2
"1202","1722","4","3","1","11",5
"282","602","2","1","0","12",2
"906","1755","4","2","1","11",4
"792","1279","6","4","1","2",2
"2175","1673","8","1","1","1",5
"2001","842","6","5","0","5",2
"535","862","8","6","0","10",4
"1958","913","6","1","0","6",5
"890","1813","8","1","0","5",4
"1803","1808","4","3","0","4",4
"760","696","2","2","1","9",1
"1443","538","2","2","1","11",2
"1055","826","6","1","0","12",5
"1090","1866","8","6","0","7",4
"150","971","6","3","0","15",4
"817","1495","6","2","0","15",4
"170","2021","8","3","0","15",2
"213","1012","6","5","1","2",5
"2873","1840","6","3","1","11",5
"1659","672","6","4","1","1",3
"973","1817","2","2","1","11",3
"2858","1203","4","6","1","3",4
"1802","827","2","2","1","12",5
"2191","737","4","2","0","4",5
"2891","1797","4","4","0","14",4
"988","1244","4","3","0","3",2
"1773","845","8","5","0","10",2
"190","1711","6","6","0","3",4
"2059","1963","6","3","0","6",2
"1774","1816","6","1","0","12",2
"1697","84","6","3","0","10",3
"915","1301","2","2","0","12",3
"318","1736","2","2","1","12",2
"2408","122","8","4","0","4",3
"1989","870","8","4","0","9",5
"1075","1956","8","3","0","14",2
"1297","1780","2","2","1","11",2
"132","603","6","6","1","8",3
"504","622","8","6","0","11",2
"2865","393","4","1","0","12",2
"311","1575","2","2","0","12",4
"2625","63","2","2","0","10",4
"1591","1747","4","6","1","4",4
"2410","297","6","6","1","9",2
"1635","1686","4","1","0","8",3
"1249","1439","8","2","0","5",4
"1188","763","6","1","0","5",3
"2668","140","4","1","0","10",5
"2649","2008","2","2","1","7",4
"2050","1594","6","4","0","4",2
"867","918","4","2","0","3",1
"2260","2149","8","4","1","12",1
"2963","1492","6","3","0","11",5
"2968","67","6","1","0","4",5
"1749","1084","2","2","1","9",4
"2858","1049","4","2","1","2",2
"2080","1083","8","1","1","15",4
"1398","897","8","3","1","15",4
"960","405","8","2","0","6",3
"64","748","8","3","0","9",1
"1485","1492","2","2","1","11",5
"1246","1780","2","1","1","11",1
"2589","1749","4","2","0","10",1
"1986","1827","4","1","1","6",3
"80","2055","6","6","1","12",3
"2082","42","2","3","1","11",2
"1348","583","4","4","1","11",3
"1900","53","6","1","0","9",4
"1564","474","8","3","1","1",2
"1635","1526","4","1","0","8",2
"2105","65","2","1","0","2",2
"308","1144","6","2","0","10",1
"1729","1284","4","4","0","4",1
"170","1699","8","5","0","15",3
"2500","314","4","2","0","11",5
"1417","1084","2","2","1","9",3
"1411","96","2","1","0","11",4
"1199","1129","6","3","0","15",3
"2435","1306","6","1","0","9",1
"2400","1002","6","6","1","2",2
"1643","1586","4","1","1","12",2
"1934","1299","8","3","0","10",2
"1324","1718","2","1","1","8",4
"2722","1354","4","1","0","9",2
"1681","297","2","2","1","9",2
"2794","1050","8","6","1","6",4
"1287","1607","8","2","0","4",3
"1989","881","8","6","0","9",4
"1922","1400","2","1","0","6",2
"1697","1384","6","3","0","10",2
"850","1439","8","2","0","5",4
"2699","1338","8","1","0","15",5
"1566","1011","4","1","1","9",4
"2146","2058","6","3","0","10",2
"596","2034","2","1","1","6",4
"2061","2083","4","2","1","6",2
"1410","817","8","3","0","4",3
"258","512","6","6","0","3",2
"1222","1329","6","2","0","6",1
"1976","1002","6","2","0","2",5
"216","624","8","5","0","9",5
"249","314","4","2","1","11",5
"1869","1575","2","3","0","12",5
"2080","122","8","4","0","4",4
"365","603","6","1","1","8",4
"2630","158","6","2","0","6",2
"362","314","4","1","1","11",5
"993","1193","6","5","0","8",3
"601","2083","4","4","0","6",4
"2293","1451","8","5","0","10",3
"1532","827","4","1","0","12",4
"2902","420","8","6","0","9",4
"1176","1505","2","1","0","8",1
"538","65","2","1","1","2",4
"322","119","4","1","0","3",5
"1564","1382","8","3","1","3",3
"1177","1840","6","3","1","11",4
"756","2079","2","1","1","11",3
"153","1283","4","6","0","15",1
"1658","1537","2","2","0","12",5
"70","1587","6","5","1","1",4
"435","323","6","2","0","10",5
"1047","555","8","1","1","14",2
"577","721","6","1","1","8",4
"1884","1412","6","2","1","12",3
"589","129","8","4","0","14",4
"2780","918","4","3","0","3",1
"2716","1066","8","2","0","9",5
"365","2050","6","1","0","3",4
"1331","137","8","4","0","4",3
"2351","1018","4","4","0","3",4
"936","601","4","4","0","6",5
"833","297","6","5","1","9",4
"523","1827","2","3","0","6",4
"1489","70","6","1","0","11",5
"2088","973","8","6","0","4",4
"2800","1439","8","2","0","5",5
"2824","66","2","1","1","11",5
"385","84","6","3","0","10",1
"1849","1317","6","5","0","5",2
"1446","866","6","4","1","2",1
"2516","670","4","2","0","5",4
"2795","1123","6","2","1","8",4
"2543","1711","2","1","0","3",5
"1975","2053","6","2","0","6",3
"2745","1797","2","2","0","14",4
"1800","183","6","4","1","8",3
"2223","893","2","2","0","4",4
"41","688","8","6","1","10",5
"2047","466","4","3","0","10",2
"2319","1049","8","4","0","2",4
"1355","2079","2","1","1","11",3
"902","554","2","1","1","6",3
"1732","504","8","1","1","4",4
"94","903","6","2","0","15",4
"2826","307","4","4","1","2",4
"1673","19","2","2","0","15",4
"2045","736","6","3","1","8",3
"1260","2160","4","3","1","2",3
"1896","252","2","1","1","6",3
"2915","1019","8","3","1","8",5
"1579","1480","8","3","0","5",3
"939","790","4","4","1","11",4
"2582","63","2","4","1","10",3
"762","1500","2","1","1","12",5
"2894","377","8","3","0","10",2
"2864","2146","8","6","0","4",4
"2531","1937","8","2","0","10",5
"1989","182","8","6","1","14",2
"2616","112","6","2","0","15",2
"141","2121","6","6","1","2",3
"1558","72","8","5","1","2",1
"830","1219","4","2","0","6",3
"1891","1412","6","2","1","12",1
"145","2052","6","6","1","14",2
"44","1038","6","6","0","12",3
"2785","446","2","1","1","6",4
"310","1925","2","2","0","6",2
"2317","1713","4","2","1","14",4
"947","1117","8","2","0","14",4
"1325","1892","6","1","0","12",4
"1889","67","4","2","0","4",4
"2614","932","6","1","0","12",5
"1350","1262","6","2","1","7",1
"477","1889","6","3","0","12",1
"1776","474","4","4","0","1",4
"2426","1736","2","2","1","12",5
"731","664","4","5","1","11",3
"1253","65","2","1","0","2",5
"2359","624","8","6","0","9",3
"2918","377","2","2","0","10",2
"2166","281","4","4","1","6",4
"658","1172","2","1","0","10",1
"772","1059","6","6","1","6",5
"121","477","6","5","1","8",4
"2046","377","2","2","0","10",4
"72","1887","8","6","1","6",5
"1082","2147","4","2","1","14",2
"603","2103","8","6","1","11",5
"663","1940","8","6","0","15",3
"2400","2076","6","5","0","1",5
"390","1600","8","1","1","2",5
"2648","436","2","1","1","12",3
"2281","157","8","5","0","11",4
"2416","1959","4","1","0","6",3
"2403","2132","8","6","1","8",3
"2719","1173","6","3","0","6",2
"2012","1686","6","1","1","8",4
"2646","688","8","1","0","10",4
"2035","1115","8","6","1","11",4
"34","824","4","5","0","14",4
"2266","939","6","2","1","14",3
"1581","1030","4","2","1","6",5
"1949","1819","2","2","0","1",4
"71","1419","6","6","0","4",3
"428","1775","8","6","0","15",3
"2047","1056","4","2","1","8",1
"2794","369","8","6","1","6",3
"1599","621","2","5","1","2",1
"1850","352","6","6","1","15",3
"2900","67","6","1","0","4",5
"2964","2157","8","5","0","10",1
"2210","1045","6","5","0","5",3
"2739","388","6","3","1","8",1
"80","888","6","2","0","15",4
"2799","1711","4","2","0","3",5
"149","1784","8","3","0","9",1
"410","1840","6","4","0","11",4
"1502","135","4","3","0","14",3
"1974","977","8","6","1","6",3
"1628","782","2","5","0","6",5
"217","696","8","3","0","9",3
"523","562","2","2","0","6",2
"2369","653","2","1","1","8",2
"450","401","6","5","1","4",5
"1781","693","8","5","1","2",4
"388","2090","6","2","0","1",5
"2408","1954","8","4","0","4",3
"1857","1797","8","4","0","14",5
"44","945","6","5","1","4",4
"2040","1790","6","1","0","10",2
"604","1172","6","6","0","10",3
"1188","316","6","2","0","5",3
"162","66","6","6","1","11",5
"1043","296","2","1","1","11",5
"2872","230","8","6","0","4",1
"2895","1867","6","1","0","9",4
"1241","616","6","3","0","7",1
"1683","1755","4","1","1","11",1
"1133","827","6","4","1","12",5
"1167","903","2","2","0","15",4
"1433","158","8","4","0","6",2
"1281","1088","6","2","0","1",3
"1986","675","4","3","0","12",1
"1437","264","8","2","0","11",5
"1699","973","4","4","1","4",2
"1771","66","2","1","1","11",5
"1342","805","4","1","0","9",3
"1519","583","4","1","0","11",4
"1217","1900","4","2","1","8",4
"702","494","6","3","1","9",3
"79","206","6","6","0","4",4
"1015","1219","6","4","1","6",4
