"popul","TVnews","selfLR","ClinLR","DoleLR","PID","age","educ","income","vote"
390,5,"sliLib","Mod","extCon","weakDem",40,"CCdeg","$3K-$5K","Clinton"
40,7,"Mod","sliLib","Mod","strDem",40,"BAdeg","$3K-$5K","Clinton"
3,3,"sliCon","sliCon","Mod","weakDem",48,"HS","$3K-$5K","Clinton"
450,3,"Mod","extCon","extLib","strDem",34,"HS","$3K-$5K","Clinton"
350,0,"sliLib","Mod","extCon","indDem",26,"HSdrop","$3K-$5K","Clinton"
64,3,"Mod","Mod","Lib","weakDem",60,"HSdrop","$5K-$7K","Clinton"
3,0,"Mod","Mod","sliLib","strDem",32,"HS","$5K-$7K","Clinton"
0,1,"Mod","sliLib","extCon","weakDem",31,"HS","$5K-$7K","Clinton"
640,7,"extCon","sliCon","extCon","indRep",33,"HS","$5K-$7K","Dole"
0,7,"sliLib","Mod","Con","strDem",57,"HS","$5K-$7K","Clinton"
12,7,"Mod","sliLib","Con","weakDem",84,"HS","$5K-$7K","Clinton"
62,6,"extCon","Lib","extCon","weakRep",75,"HS","$5K-$7K","Dole"
31,2,"extCon","Lib","Con","strRep",19,"Coll","$5K-$7K","Dole"
0,1,"sliLib","Lib","Con","weakDem",47,"BAdeg","$5K-$7K","Clinton"
180,6,"sliCon","sliCon","sliCon","strDem",51,"HSdrop","$5K-$7K","Clinton"
640,3,"Con","Mod","Mod","weakRep",40,"HS","$5K-$7K","Clinton"
110,0,"Lib","sliLib","Con","weakDem",22,"BAdeg","$5K-$7K","Clinton"
100,1,"extCon","extCon","sliCon","strRep",35,"HSdrop","$5K-$7K","Clinton"
100,7,"Mod","Mod","extCon","indDem",43,"CCdeg","$5K-$7K","Clinton"
11,3,"Con","Con","sliLib","indDem",76,"BAdeg","$5K-$7K","Clinton"
0,7,"Mod","sliLib","extLib","strRep",45,"HS","$5K-$7K","Dole"
4,7,"Mod","Con","Con","strDem",88,"HSdrop","$5K-$7K","Clinton"
35,6,"Mod","Mod","Lib","weakDem",46,"HS","$7K-$9K","Clinton"
0,1,"sliLib","Mod","sliCon","indDem",22,"BAdeg","$7K-$9K","Clinton"
0,7,"sliCon","extLib","Con","weakRep",68,"HS","$7K-$9K","Dole"
0,2,"sliCon","Lib","Con","weakRep",38,"HS","$7K-$9K","Dole"
33,7,"Mod","sliLib","Con","indind",69,"HSdrop","$7K-$9K","Clinton"
270,2,"sliCon","Mod","sliLib","strDem",67,"HS","$7K-$9K","Clinton"
45,7,"Lib","Mod","Con","strDem",88,"Coll","$7K-$9K","Clinton"
40,3,"Con","Lib","sliCon","weakRep",68,"HS","$7K-$9K","Dole"
6,1,"sliCon","Lib","Mod","indDem",76,"HS","$7K-$9K","Dole"
2,7,"Mod","Mod","Con","strDem",72,"HSdrop","$7K-$9K","Clinton"
0,0,"Con","Lib","Con","strRep",37,"BAdeg","$7K-$9K","Dole"
35,3,"Mod","Lib","Con","strDem",69,"HS","$7K-$9K","Clinton"
83,0,"Lib","Mod","Con","strDem",33,"BAdeg","$7K-$9K","Clinton"
3500,7,"Lib","Lib","Con","strDem",34,"Coll","$7K-$9K","Clinton"
100,2,"Mod","Mod","extCon","indDem",30,"HS","$7K-$9K","Clinton"
350,2,"sliLib","sliLib","Con","weakDem",19,"HS","$7K-$9K","Clinton"
100,3,"Mod","Con","Lib","strDem",44,"HS","$7K-$9K","Clinton"
67,1,"Mod","Mod","extCon","weakDem",64,"HS","$7K-$9K","Clinton"
30,5,"extCon","extCon","Lib","strDem",37,"Coll","$7K-$9K","Clinton"
0,7,"Con","sliLib","sliCon","indRep",31,"CCdeg","$9K-$10K","Dole"
0,0,"Con","extLib","sliCon","indRep",88,"Coll","$9K-$10K","Dole"
6,7,"Con","Lib","Con","strRep",77,"Coll","$9K-$10K","Dole"
350,1,"Mod","sliCon","Con","weakRep",30,"BAdeg","$9K-$10K","Clinton"
400,1,"Lib","sliLib","extCon","weakDem",32,"Coll","$9K-$10K","Clinton"
15,7,"Con","Lib","Con","strRep",59,"MS","$9K-$10K","Dole"
0,0,"Mod","Mod","Mod","indind",47,"Coll","$9K-$10K","Clinton"
3,2,"Mod","Con","sliCon","weakDem",22,"HS","$9K-$10K","Clinton"
22,5,"Mod","Lib","Con","indDem",55,"HS","$9K-$10K","Clinton"
64,2,"Lib","extLib","sliLib","strDem",24,"HSdrop","$9K-$10K","Clinton"
32,5,"sliLib","extCon","Mod","weakDem",65,"MS","$9K-$10K","Clinton"
390,7,"sliLib","Con","Lib","indDem",24,"HS","$9K-$10K","Clinton"
0,7,"sliLib","Mod","sliCon","indind",30,"HS","$9K-$10K","Clinton"
0,7,"Mod","sliCon","Lib","indind",73,"HS","$9K-$10K","Clinton"
59,5,"sliLib","sliLib","sliCon","weakDem",73,"CCdeg","$9K-$10K","Clinton"
0,6,"Mod","sliLib","Con","indDem",91,"MS","$9K-$10K","Clinton"
35,7,"sliLib","Lib","sliCon","strDem",71,"HSdrop","$9K-$10K","Clinton"
0,2,"Con","Mod","sliCon","indRep",34,"Coll","$9K-$10K","Dole"
170,7,"Mod","sliLib","Lib","strDem",48,"HSdrop","$10K-$11K","Clinton"
12,1,"Con","Lib","Con","weakRep",42,"Coll","$10K-$11K","Dole"
40,4,"Con","sliCon","Mod","strDem",72,"HSdrop","$10K-$11K","Clinton"
31,2,"sliLib","Mod","Con","strRep",20,"Coll","$10K-$11K","Dole"
31,7,"Lib","Lib","extCon","strDem",22,"Coll","$10K-$11K","Clinton"
1600,1,"sliLib","sliLib","Con","weakDem",24,"BAdeg","$10K-$11K","Clinton"
1,1,"Mod","Lib","extCon","indDem",39,"BAdeg","$10K-$11K","Clinton"
4,7,"Con","extLib","Con","strRep",83,"CCdeg","$10K-$11K","Dole"
190,0,"Con","Lib","Con","strRep",39,"HS","$10K-$11K","Dole"
53,3,"sliCon","sliLib","Con","weakDem",33,"CCdeg","$10K-$11K","Clinton"
31,7,"Mod","sliLib","Con","weakDem",53,"HS","$10K-$11K","Dole"
16,7,"sliCon","sliLib","Con","weakRep",82,"HS","$10K-$11K","Dole"
33,5,"Mod","sliLib","sliCon","strRep",82,"HS","$10K-$11K","Dole"
0,3,"sliCon","sliLib","Con","weakRep",47,"BAdeg","$11K-$12K","Dole"
0,3,"Mod","Lib","extCon","indRep",68,"HS","$11K-$12K","Clinton"
0,7,"Mod","sliLib","sliCon","strDem",84,"BAdeg","$11K-$12K","Clinton"
27,2,"Con","extLib","Con","weakRep",35,"CCdeg","$11K-$12K","Dole"
84,7,"Mod","sliCon","Con","weakDem",67,"HSdrop","$11K-$12K","Clinton"
22,3,"sliCon","sliLib","sliCon","indRep",33,"HSdrop","$11K-$12K","Dole"
0,3,"sliLib","sliLib","sliCon","strDem",49,"MAdeg","$11K-$12K","Clinton"
3500,0,"Mod","sliLib","extCon","strDem",91,"MS","$11K-$12K","Clinton"
390,7,"Mod","sliCon","sliLib","weakDem",43,"HS","$11K-$12K","Clinton"
0,7,"Mod","sliLib","Lib","strRep",65,"Coll","$11K-$12K","Clinton"
16,7,"sliCon","Con","sliLib","strDem",69,"HS","$11K-$12K","Clinton"
200,0,"sliCon","sliCon","Mod","weakDem",56,"Coll","$12K-$13K","Clinton"
640,0,"Lib","sliLib","sliCon","strDem",24,"BAdeg","$12K-$13K","Clinton"
0,7,"Mod","Mod","sliCon","strDem",77,"HS","$12K-$13K","Clinton"
45,7,"Con","sliLib","extCon","strDem",74,"HS","$12K-$13K","Clinton"
12,0,"extCon","sliLib","Con","strRep",25,"BAdeg","$12K-$13K","Dole"
20,7,"Con","Lib","sliCon","indRep",85,"MS","$12K-$13K","Dole"
7300,5,"extCon","extCon","Con","indind",21,"HSdrop","$12K-$13K","Clinton"
64,7,"Con","sliLib","extLib","strDem",24,"Coll","$12K-$13K","Clinton"
13,7,"sliCon","Mod","extCon","indRep",73,"Coll","$12K-$13K","Clinton"
190,0,"Mod","sliCon","sliLib","indDem",37,"HS","$12K-$13K","Clinton"
9,4,"Mod","sliCon","extLib","indDem",35,"Coll","$12K-$13K","Clinton"
0,7,"Mod","Mod","extCon","strDem",47,"HS","$12K-$13K","Clinton"
170,2,"Mod","Lib","Con","strRep",21,"HS","$12K-$13K","Dole"
640,7,"sliLib","Con","Mod","strDem",55,"CCdeg","$12K-$13K","Clinton"
9,4,"Con","sliLib","Con","strRep",30,"BAdeg","$12K-$13K","Dole"
0,4,"sliCon","sliLib","Con","indRep",76,"MAdeg","$12K-$13K","Dole"
7300,5,"sliLib","Mod","sliLib","indind",36,"Coll","$12K-$13K","Clinton"
2800,0,"extLib","extLib","extCon","strDem",38,"HS","$13K-$14K","Clinton"
0,7,"Lib","sliLib","sliCon","strDem",67,"HS","$13K-$14K","Clinton"
30,7,"extCon","sliLib","extCon","strRep",70,"HSdrop","$13K-$14K","Dole"
44,7,"sliCon","sliLib","extCon","indDem",78,"Coll","$13K-$14K","Clinton"
7300,1,"Lib","Lib","extCon","indind",27,"BAdeg","$13K-$14K","Clinton"
330,4,"sliLib","sliCon","Con","weakDem",51,"Coll","$13K-$14K","Clinton"
3,0,"Con","extCon","sliLib","weakRep",33,"Coll","$13K-$14K","Clinton"
51,2,"Con","extLib","sliCon","strRep",80,"BAdeg","$13K-$14K","Dole"
29,5,"Mod","extLib","Con","weakDem",79,"MS","$13K-$14K","Clinton"
630,2,"Con","Mod","sliCon","indRep",66,"MS","$13K-$14K","Dole"
170,0,"Mod","extLib","Con","strDem",32,"HS","$14K-$15K","Clinton"
33,7,"Mod","sliCon","extCon","strDem",70,"HSdrop","$14K-$15K","Clinton"
0,3,"Lib","sliLib","Con","indind",42,"HS","$14K-$15K","Clinton"
9,5,"sliCon","Mod","sliCon","weakRep",73,"Coll","$14K-$15K","Dole"
22,4,"Mod","Mod","Con","strDem",87,"HSdrop","$14K-$15K","Clinton"
100,0,"extCon","sliCon","extLib","weakDem",30,"CCdeg","$14K-$15K","Clinton"
2,2,"Mod","Mod","sliCon","indind",52,"HS","$14K-$15K","Clinton"
0,6,"sliCon","sliLib","Con","weakDem",62,"Coll","$14K-$15K","Clinton"
50,7,"Con","sliLib","Mod","strDem",67,"HS","$14K-$15K","Clinton"
15,4,"Con","sliLib","Mod","indRep",37,"BAdeg","$14K-$15K","Clinton"
3,4,"sliLib","sliCon","extCon","strDem",37,"Coll","$14K-$15K","Clinton"
720,5,"extLib","sliCon","Con","weakDem",64,"BAdeg","$14K-$15K","Clinton"
640,7,"extLib","extLib","sliCon","strDem",34,"HS","$14K-$15K","Clinton"
5,7,"Mod","Mod","extCon","strDem",70,"HS","$14K-$15K","Clinton"
24,2,"Con","Lib","Con","strRep",31,"CCdeg","$14K-$15K","Dole"
22,7,"Lib","Lib","Con","strDem",29,"BAdeg","$15K-$17K","Clinton"
55,7,"Mod","sliCon","Mod","weakDem",71,"HSdrop","$15K-$17K","Clinton"
0,2,"Mod","Mod","Mod","strDem",67,"MS","$15K-$17K","Clinton"
1600,5,"Mod","Mod","Con","strDem",41,"MAdeg","$15K-$17K","Clinton"
170,6,"extLib","Lib","Con","strDem",49,"BAdeg","$15K-$17K","Clinton"
1000,7,"Mod","Mod","sliCon","strDem",42,"CCdeg","$15K-$17K","Clinton"
63,0,"Con","sliLib","Lib","strDem",78,"HSdrop","$15K-$17K","Clinton"
110,0,"Mod","extLib","Con","weakDem",24,"HS","$15K-$17K","Clinton"
16,7,"Mod","Con","Con","weakDem",29,"HS","$15K-$17K","Clinton"
100,3,"Mod","Lib","Con","weakRep",39,"CCdeg","$15K-$17K","Dole"
7300,3,"sliCon","sliLib","Con","weakDem",19,"Coll","$15K-$17K","Clinton"
22,2,"Mod","Lib","extCon","weakDem",32,"CCdeg","$15K-$17K","Clinton"
71,3,"Mod","Lib","Con","weakRep",69,"HS","$15K-$17K","Dole"
900,4,"sliCon","Lib","sliCon","weakRep",83,"HS","$15K-$17K","Dole"
35,7,"Mod","extLib","sliCon","indRep",76,"HSdrop","$15K-$17K","Dole"
2,7,"extCon","extLib","Lib","strDem",62,"HSdrop","$15K-$17K","Clinton"
83,2,"sliLib","sliLib","Con","strDem",47,"MAdeg","$15K-$17K","Clinton"
370,5,"Con","extCon","Mod","strDem",35,"HS","$15K-$17K","Clinton"
12,0,"Mod","sliCon","sliLib","indRep",23,"HS","$15K-$17K","Clinton"
370,7,"Mod","Mod","extLib","weakDem",79,"Coll","$15K-$17K","Clinton"
100,7,"Con","Lib","Con","weakRep",64,"CCdeg","$15K-$17K","Dole"
470,7,"Con","Lib","Mod","weakRep",70,"Coll","$15K-$17K","Dole"
22,7,"Con","extLib","Con","strRep",87,"CCdeg","$15K-$17K","Dole"
2800,0,"sliLib","Con","extLib","strDem",28,"HSdrop","$17K-$20K","Clinton"
47,5,"sliLib","sliCon","extCon","weakDem",58,"HS","$17K-$20K","Clinton"
900,5,"Mod","Mod","Con","weakDem",85,"HSdrop","$17K-$20K","Clinton"
330,7,"sliLib","Con","Mod","strDem",62,"HS","$17K-$20K","Clinton"
84,0,"sliLib","Lib","extCon","weakDem",26,"BAdeg","$17K-$20K","Clinton"
0,0,"Con","Lib","sliCon","weakRep",28,"HS","$17K-$20K","Dole"
33,3,"Con","extLib","extCon","strRep",88,"HSdrop","$17K-$20K","Dole"
53,7,"Lib","sliLib","Con","strDem",57,"BAdeg","$17K-$20K","Clinton"
8,7,"Lib","Lib","Con","strDem",78,"HS","$17K-$20K","Clinton"
2,7,"Mod","Mod","Lib","strDem",56,"HS","$17K-$20K","Clinton"
0,0,"Mod","Con","sliLib","indind",46,"CCdeg","$17K-$20K","Clinton"
0,2,"Mod","Mod","sliLib","weakRep",20,"HS","$17K-$20K","Dole"
0,0,"sliCon","Con","Mod","weakDem",24,"Coll","$17K-$20K","Clinton"
0,7,"sliCon","Lib","Con","indDem",72,"Coll","$17K-$20K","Clinton"
15,7,"Lib","Mod","extCon","weakDem",51,"Coll","$17K-$20K","Clinton"
900,0,"Con","Lib","sliCon","strRep",34,"BAdeg","$17K-$20K","Dole"
30,2,"Mod","Lib","Con","weakDem",21,"Coll","$17K-$20K","Clinton"
0,7,"Mod","Mod","Con","indDem",74,"MAdeg","$17K-$20K","Clinton"
170,3,"Mod","Mod","Con","weakDem",48,"MS","$17K-$20K","Clinton"
900,2,"sliLib","sliLib","extCon","weakRep",28,"HS","$17K-$20K","Clinton"
0,6,"extCon","extLib","extCon","weakRep",38,"HSdrop","$17K-$20K","Dole"
1600,7,"Mod","Con","extLib","strDem",70,"HS","$17K-$20K","Clinton"
0,7,"Mod","sliCon","Mod","strDem",72,"HSdrop","$17K-$20K","Clinton"
2800,0,"Mod","sliCon","Con","strDem",41,"HS","$17K-$20K","Clinton"
110,5,"sliLib","Mod","sliCon","weakDem",50,"MAdeg","$17K-$20K","Clinton"
1,7,"Con","Lib","sliCon","weakRep",73,"HS","$17K-$20K","Dole"
3,5,"sliCon","Lib","Mod","strDem",79,"BAdeg","$17K-$20K","Clinton"
0,4,"sliCon","extLib","Mod","weakRep",76,"HSdrop","$17K-$20K","Dole"
22,0,"sliCon","sliLib","sliCon","weakRep",62,"CCdeg","$17K-$20K","Dole"
63,3,"Con","Lib","Con","strRep",30,"BAdeg","$17K-$20K","Dole"
290,0,"Con","sliLib","Con","weakRep",35,"Coll","$17K-$20K","Dole"
2,7,"extLib","Lib","extCon","weakDem",66,"Coll","$17K-$20K","Clinton"
40,0,"Lib","Mod","Con","strDem",35,"Coll","$17K-$20K","Clinton"
67,0,"Con","extLib","sliCon","strRep",57,"BAdeg","$17K-$20K","Dole"
0,5,"Mod","sliCon","Mod","weakRep",37,"CCdeg","$17K-$20K","Dole"
470,7,"sliCon","sliCon","Lib","weakDem",61,"HS","$20K-$22K","Clinton"
0,7,"Con","Lib","Con","strRep",56,"HS","$20K-$22K","Dole"
4,6,"sliLib","Mod","sliCon","weakDem",53,"HS","$20K-$22K","Clinton"
20,0,"Mod","sliCon","sliLib","indDem",24,"BAdeg","$20K-$22K","Dole"
2800,7,"Mod","extLib","Con","weakRep",74,"HS","$20K-$22K","Dole"
0,0,"Mod","Mod","sliLib","weakDem",36,"HS","$20K-$22K","Clinton"
1,0,"Con","Lib","Mod","weakRep",30,"CCdeg","$20K-$22K","Dole"
640,0,"Mod","extCon","Mod","weakDem",55,"HSdrop","$20K-$22K","Clinton"
170,3,"sliLib","Lib","extCon","indDem",35,"BAdeg","$20K-$22K","Clinton"
270,2,"sliLib","Mod","Con","strDem",26,"Coll","$20K-$22K","Clinton"
390,0,"sliLib","Mod","Con","indDem",25,"Coll","$20K-$22K","Clinton"
16,2,"Con","extCon","Mod","indind",27,"HS","$20K-$22K","Clinton"
11,7,"Mod","extLib","Con","weakRep",66,"HS","$20K-$22K","Dole"
0,1,"sliCon","Lib","Con","indDem",39,"HSdrop","$20K-$22K","Clinton"
270,7,"extLib","extLib","Lib","indDem",58,"CCdeg","$20K-$22K","Clinton"
170,2,"Mod","Mod","Mod","strDem",53,"HS","$20K-$22K","Dole"
900,7,"Con","extCon","Mod","strDem",76,"HS","$20K-$22K","Clinton"
270,7,"sliCon","Lib","extCon","weakDem",51,"HS","$20K-$22K","Clinton"
0,7,"Mod","Lib","extCon","strDem",70,"HSdrop","$20K-$22K","Clinton"
350,3,"Con","sliLib","Con","strRep",68,"Coll","$20K-$22K","Dole"
0,0,"sliCon","Mod","sliCon","indDem",32,"HS","$20K-$22K","Dole"
6,0,"sliCon","Mod","sliCon","weakRep",55,"HS","$20K-$22K","Clinton"
290,7,"Lib","Lib","Con","strDem",52,"Coll","$20K-$22K","Clinton"
630,7,"Con","Mod","Con","indRep",73,"HSdrop","$20K-$22K","Dole"
900,0,"sliCon","Mod","extCon","strDem",42,"HSdrop","$20K-$22K","Clinton"
31,2,"Mod","Mod","sliLib","indRep",23,"CCdeg","$20K-$22K","Dole"
1600,5,"Lib","sliLib","Con","strDem",30,"MAdeg","$22K-$25K","Clinton"
71,7,"Lib","Lib","extCon","strDem",68,"Coll","$22K-$25K","Clinton"
200,7,"sliCon","Lib","sliLib","indDem",68,"HS","$22K-$25K","Clinton"
0,0,"Con","Mod","extCon","indind",68,"BAdeg","$22K-$25K","Clinton"
30,5,"Lib","sliLib","Con","strDem",38,"CCdeg","$22K-$25K","Clinton"
10,1,"Mod","sliLib","Con","indDem",74,"HS","$22K-$25K","Clinton"
0,7,"sliCon","Con","sliLib","strDem",59,"HSdrop","$22K-$25K","Clinton"
900,2,"sliCon","Lib","sliCon","indDem",73,"HSdrop","$22K-$25K","Clinton"
71,7,"Lib","sliLib","Con","strDem",79,"HS","$22K-$25K","Clinton"
22,3,"extCon","extLib","Con","weakRep",28,"Coll","$22K-$25K","Dole"
0,7,"Con","Lib","Con","strRep",50,"HS","$22K-$25K","Dole"
0,4,"Con","sliLib","extLib","weakDem",36,"Coll","$22K-$25K","Clinton"
0,3,"Con","Lib","Con","strRep",50,"HS","$22K-$25K","Dole"
0,1,"Con","Lib","Con","strRep",61,"HS","$22K-$25K","Dole"
7300,3,"Lib","Lib","Con","strDem",37,"Coll","$22K-$25K","Clinton"
83,0,"sliLib","Mod","extCon","strDem",29,"BAdeg","$22K-$25K","Clinton"
93,7,"Lib","sliLib","extCon","strDem",39,"Coll","$22K-$25K","Clinton"
0,7,"Mod","sliCon","Mod","indDem",83,"BAdeg","$22K-$25K","Dole"
51,7,"Con","extLib","sliCon","indRep",68,"BAdeg","$22K-$25K","Dole"
31,2,"Con","extLib","sliCon","strRep",25,"Coll","$22K-$25K","Dole"
93,2,"extLib","sliLib","Con","weakDem",41,"BAdeg","$22K-$25K","Clinton"
0,7,"sliLib","Lib","Con","weakDem",67,"HS","$22K-$25K","Clinton"
0,3,"Mod","Lib","Con","indRep",36,"BAdeg","$22K-$25K","Dole"
31,4,"Con","Lib","Con","indRep",66,"Coll","$22K-$25K","Dole"
900,1,"sliLib","Lib","extCon","weakDem",55,"Coll","$22K-$25K","Clinton"
0,4,"sliLib","Lib","Con","indDem",42,"CCdeg","$22K-$25K","Clinton"
2,7,"Con","sliLib","sliCon","weakRep",42,"HS","$22K-$25K","Dole"
110,3,"Mod","sliCon","extCon","weakDem",36,"HS","$22K-$25K","Clinton"
63,1,"Con","Mod","Con","indRep",53,"CCdeg","$22K-$25K","Dole"
900,0,"sliLib","Lib","sliCon","weakDem",36,"CCdeg","$22K-$25K","Clinton"
31,3,"Mod","sliLib","Con","indDem",29,"MAdeg","$22K-$25K","Clinton"
510,1,"Mod","Mod","Con","strDem",31,"HS","$22K-$25K","Clinton"
270,2,"sliLib","Mod","Con","weakDem",43,"BAdeg","$22K-$25K","Clinton"
9,3,"sliLib","Mod","extCon","weakDem",33,"BAdeg","$22K-$25K","Clinton"
3,1,"Con","Con","Lib","strDem",63,"HS","$22K-$25K","Clinton"
29,1,"sliCon","Lib","Mod","indDem",25,"CCdeg","$22K-$25K","Clinton"
45,2,"sliLib","Lib","Con","strDem",72,"Coll","$22K-$25K","Clinton"
83,5,"sliLib","sliLib","Con","weakDem",40,"Coll","$22K-$25K","Clinton"
22,7,"Mod","Lib","Con","indDem",27,"BAdeg","$22K-$25K","Clinton"
15,3,"sliCon","Mod","extCon","indDem",26,"Coll","$25K-$30K","Clinton"
110,7,"sliCon","Lib","sliCon","strRep",67,"HS","$25K-$30K","Dole"
8,0,"Mod","sliCon","sliCon","weakDem",21,"HS","$25K-$30K","Clinton"
11,5,"Con","Lib","Con","strRep",27,"MAdeg","$25K-$30K","Dole"
56,4,"Con","sliCon","sliLib","strDem",78,"BAdeg","$25K-$30K","Dole"
8,3,"Mod","Mod","sliLib","weakDem",32,"HS","$25K-$30K","Clinton"
100,5,"Mod","Lib","Con","weakDem",68,"Coll","$25K-$30K","Clinton"
900,7,"Mod","Lib","Con","weakRep",76,"Coll","$25K-$30K","Clinton"
67,7,"sliLib","sliLib","Con","strDem",33,"CCdeg","$25K-$30K","Clinton"
35,4,"Con","Lib","sliCon","indRep",38,"HSdrop","$25K-$30K","Dole"
35,3,"Mod","sliLib","sliCon","weakDem",49,"MAdeg","$25K-$30K","Clinton"
22,0,"sliCon","Mod","Con","weakRep",61,"Coll","$25K-$30K","Dole"
110,7,"extCon","extLib","sliCon","indRep",57,"HS","$25K-$30K","Dole"
12,0,"Mod","Lib","sliCon","indDem",20,"HS","$25K-$30K","Clinton"
7300,7,"Mod","Lib","Mod","indRep",63,"BAdeg","$25K-$30K","Dole"
0,0,"Mod","extLib","sliCon","indRep",53,"HS","$25K-$30K","Dole"
19,5,"Mod","Lib","Con","weakRep",35,"Coll","$25K-$30K","Dole"
470,3,"Mod","Mod","extCon","strDem",39,"HS","$25K-$30K","Clinton"
4,3,"sliLib","sliCon","sliLib","indRep",48,"HS","$25K-$30K","Dole"
640,4,"Con","Lib","sliCon","indRep",62,"HS","$25K-$30K","Dole"
640,2,"Mod","Lib","sliLib","weakDem",30,"CCdeg","$25K-$30K","Clinton"
200,7,"extCon","extLib","Mod","strRep",26,"BAdeg","$25K-$30K","Dole"
0,7,"sliLib","Lib","Mod","weakRep",74,"BAdeg","$25K-$30K","Dole"
29,4,"sliLib","Mod","Con","indDem",37,"CCdeg","$25K-$30K","Clinton"
330,2,"Mod","sliCon","sliCon","weakDem",43,"CCdeg","$25K-$30K","Clinton"
19,5,"sliCon","extLib","Mod","strRep",68,"HS","$25K-$30K","Dole"
1,7,"sliCon","sliLib","Mod","weakRep",73,"CCdeg","$25K-$30K","Dole"
110,5,"Con","extLib","Con","strRep",60,"MAdeg","$25K-$30K","Dole"
0,7,"sliCon","Mod","Con","weakDem",35,"HS","$25K-$30K","Clinton"
350,4,"sliLib","Mod","Con","strDem",29,"BAdeg","$25K-$30K","Clinton"
2,5,"sliLib","sliLib","sliCon","weakDem",25,"BAdeg","$25K-$30K","Clinton"
0,7,"Lib","Lib","Con","strDem",25,"MAdeg","$25K-$30K","Clinton"
7,4,"Lib","Mod","sliCon","strDem",70,"BAdeg","$25K-$30K","Clinton"
71,1,"Con","Lib","sliCon","strRep",41,"HS","$25K-$30K","Dole"
53,0,"Mod","Lib","Con","weakDem",37,"BAdeg","$25K-$30K","Clinton"
0,0,"Con","extLib","Con","strRep",39,"CCdeg","$25K-$30K","Dole"
2,6,"sliLib","Mod","Con","strDem",35,"Coll","$25K-$30K","Clinton"
190,4,"Lib","sliLib","Con","strDem",62,"MAdeg","$25K-$30K","Clinton"
31,0,"sliLib","Lib","Con","weakDem",30,"MAdeg","$25K-$30K","Clinton"
16,7,"Mod","Lib","Con","strDem",74,"Coll","$25K-$30K","Clinton"
22,7,"sliLib","sliLib","Mod","weakRep",47,"HS","$25K-$30K","Clinton"
3,4,"Mod","sliCon","sliLib","weakDem",43,"BAdeg","$25K-$30K","Clinton"
0,6,"sliCon","sliLib","Con","weakRep",64,"HSdrop","$25K-$30K","Dole"
0,7,"Mod","sliLib","sliCon","indDem",75,"Coll","$25K-$30K","Dole"
67,3,"Mod","Mod","extCon","weakDem",27,"BAdeg","$25K-$30K","Clinton"
40,7,"Mod","Mod","Con","strDem",21,"HS","$25K-$30K","Clinton"
74,4,"Lib","Lib","Con","weakDem",70,"HSdrop","$25K-$30K","Clinton"
3,6,"sliCon","Lib","Con","weakRep",67,"HS","$25K-$30K","Dole"
140,7,"Con","Mod","sliCon","strRep",82,"CCdeg","$25K-$30K","Clinton"
14,0,"Lib","Lib","Con","strDem",40,"BAdeg","$25K-$30K","Clinton"
110,0,"sliCon","sliLib","Con","weakRep",26,"Coll","$25K-$30K","Dole"
