"school","class","gender","social","raven","id","english","math","year"
"3","1","boy","2",32,"65",71,37,0
"3","1","boy","2",32,"65",60,37,2
"3","1","girl","5",29,"66",72,32,0
"3","1","girl","5",29,"66",55,35,2
"3","1","boy","4",24,"67",57,23,0
"3","1","boy","4",24,"67",66,29,1
"3","1","boy","4",24,"67",26,33,2
"3","1","boy","6",26,"68",51,33,0
"3","1","boy","6",26,"68",79,31,1
"3","1","boy","6",26,"68",24,37,2
"3","1","boy","5",21,"69",59,24,0
"3","1","boy","5",21,"69",76,9,1
"3","1","boy","5",21,"69",50,37,2
"3","1","girl","4",29,"70",30,18,0
"3","1","girl","4",29,"70",48,18,1
"3","1","girl","4",29,"70",31,32,2
"3","1","boy","7",24,"71",28,28,0
"3","1","girl","7",31,"73",67,27,0
"3","1","girl","7",31,"73",80,27,1
"3","1","boy","4",22,"74",34,30,0
"3","1","boy","4",22,"74",44,24,1
"3","1","boy","4",25,"75",55,31,0
"3","1","boy","4",25,"75",67,17,1
"3","1","boy","4",25,"75",27,22,2
"3","1","boy","7",30,"77",48,30,0
"3","1","boy","7",30,"77",37,37,2
"3","1","girl","7",20,"78",42,26,0
"3","1","girl","7",20,"78",30,27,2
"3","1","boy","4",32,"79",67,31,0
"3","1","boy","4",32,"79",81,28,1
"3","1","girl","4",24,"80",52,23,1
"3","1","girl","4",25,"82",75,29,0
"3","1","girl","4",25,"82",54,36,2
"3","2","boy","4",20,"83",20,28,0
"3","2","boy","4",20,"83",9,15,2
"3","2","boy","4",30,"85",41,28,0
"3","2","boy","4",30,"85",64,30,1
"3","2","boy","4",30,"85",49,37,2
"3","2","boy","4",25,"86",42,19,0
"3","2","boy","4",25,"86",73,25,1
"4","1","boy","9",28,"87",71,26,0
"4","1","boy","9",28,"87",88,25,1
"4","1","boy","9",28,"87",67,33,2
"4","1","girl","4",23,"88",24,12,0
"4","1","girl","4",23,"88",63,15,1
"4","1","girl","4",23,"88",18,20,2
"4","1","girl","4",18,"89",11,7,0
"4","1","girl","4",18,"89",13,4,1
"4","1","girl","4",18,"89",35,13,2
"4","1","girl","7",21,"90",32,8,0
"4","1","girl","7",21,"90",61,8,1
"4","1","girl","7",21,"90",21,19,2
"4","1","boy","5",28,"91",56,28,0
"4","1","boy","5",28,"91",81,23,1
"4","1","boy","5",28,"91",27,25,2
"4","1","girl","4",26,"92",54,21,0
"4","1","girl","4",26,"92",65,16,1
"4","1","girl","4",26,"92",30,21,2
"4","1","boy","4",32,"93",73,37,0
"4","1","boy","4",32,"93",87,34,1
"4","1","boy","4",32,"93",67,38,2
"4","1","girl","4",23,"94",37,20,0
"4","1","girl","4",23,"94",74,25,1
"4","1","girl","4",23,"94",43,24,2
"4","1","boy","7",26,"95",6,10,0
"4","1","boy","7",26,"95",17,19,1
"4","1","boy","7",26,"95",15,29,2
"4","1","boy","5",23,"96",19,11,0
"4","1","boy","5",23,"96",30,9,1
"4","1","boy","5",23,"96",25,14,2
"4","1","girl","6",26,"97",34,21,0
"4","1","girl","6",26,"97",65,19,1
"4","1","girl","6",26,"97",35,26,2
"4","1","boy","7",33,"98",82,35,0
"4","1","boy","7",33,"98",85,36,1
"4","1","boy","7",33,"98",74,37,2
"4","1","boy","9",26,"99",23,27,0
"4","1","boy","9",26,"99",56,17,1
"4","1","boy","9",26,"99",37,31,2
"4","1","girl","7",26,"100",68,30,0
"4","1","girl","7",26,"100",80,25,1
"4","1","girl","7",26,"100",50,28,2
"4","1","girl","5",29,"101",78,30,0
"4","1","girl","5",29,"101",85,29,1
"4","1","girl","5",29,"101",54,34,2
"4","1","boy","4",32,"102",25,21,0
"4","1","boy","4",32,"102",47,26,1
"4","1","boy","4",32,"102",37,33,2
"4","1","girl","7",17,"103",14,12,0
"4","1","girl","7",17,"103",31,8,1
"4","1","girl","7",17,"103",12,20,2
"4","1","girl","9",28,"104",53,24,0
"4","1","girl","9",28,"104",82,29,1
"4","1","girl","9",28,"104",60,32,2
"4","1","boy","7",31,"105",60,21,0
"4","1","boy","7",31,"105",82,25,1
"4","1","boy","7",31,"105",53,28,2
"4","1","boy","4",32,"107",24,23,0
"4","1","boy","4",32,"107",64,25,1
"4","1","boy","4",32,"107",29,36,2
"4","1","boy","4",26,"108",23,23,0
"4","1","boy","4",26,"108",79,26,1
"4","1","boy","4",26,"108",49,35,2
"4","1","girl","4",16,"109",33,28,0
"4","1","girl","4",16,"109",85,26,1
"4","1","girl","4",16,"109",56,34,2
"4","1","boy","9",26,"110",31,21,0
"4","1","boy","9",26,"110",65,28,1
"4","1","boy","9",26,"110",27,34,2
"4","1","girl","4",27,"111",63,29,0
"4","1","girl","4",27,"111",80,29,1
"4","1","girl","4",27,"111",50,33,2
"5","1","boy","4",20,"115",5,14,0
"5","1","boy","4",20,"115",62,6,1
"5","1","boy","4",25,"116",8,12,0
"5","1","boy","4",25,"116",27,17,1
"5","1","boy","4",25,"116",13,25,2
"5","1","boy","3",27,"117",43,4,0
"5","1","boy","3",27,"117",64,2,1
"5","1","girl","5",23,"118",10,11,0
"5","1","girl","5",23,"118",17,5,1
"5","1","boy","4",17,"119",25,26,0
"5","1","boy","4",17,"119",74,32,1
"5","1","boy","4",17,"119",42,33,2
"5","1","girl","2",33,"122",74,30,0
"5","1","girl","2",33,"122",84,32,1
"5","1","girl","2",33,"122",66,36,2
"5","1","boy","1",25,"124",64,25,0
"5","1","boy","1",25,"124",76,33,1
"5","1","boy","1",25,"124",52,31,2
"5","1","girl","4",23,"125",40,20,0
"5","1","girl","4",23,"125",66,22,1
"5","1","girl","4",23,"125",23,25,2
"5","1","girl","2",33,"126",87,34,0
"5","1","girl","2",33,"126",88,33,1
"5","1","girl","2",33,"126",92,37,2
"5","1","boy","3",29,"127",41,18,0
"5","1","boy","3",29,"127",75,29,1
"5","1","boy","3",29,"127",32,23,2
"5","1","girl","2",30,"128",85,32,0
"5","1","girl","2",30,"128",91,33,1
"5","1","girl","2",30,"128",79,34,2
"5","1","girl","2",32,"129",84,33,0
"5","1","girl","2",32,"129",90,37,1
"5","1","girl","2",32,"129",82,36,2
"5","1","boy","4",30,"130",61,25,0
"5","1","boy","4",30,"130",83,33,1
"5","1","boy","4",30,"130",64,30,2
"5","1","girl","2",34,"132",80,31,0
"5","1","girl","2",34,"132",88,36,1
"5","1","girl","2",34,"132",84,33,2
"5","2","boy","1",25,"134",74,26,1
"5","2","boy","1",25,"134",42,23,2
"5","2","boy","2",27,"135",51,29,0
"5","2","boy","2",27,"135",76,34,1
"5","2","boy","2",27,"135",34,32,2
"5","2","girl","4",24,"136",50,25,0
"5","2","girl","4",24,"136",70,21,1
"5","2","girl","4",24,"136",29,21,2
"5","2","girl","4",32,"137",82,31,0
"5","2","girl","4",32,"137",80,32,1
"5","2","girl","4",32,"137",67,34,2
"5","2","boy","2",28,"138",87,37,0
"5","2","boy","2",28,"138",81,36,1
"5","2","boy","2",28,"138",87,38,2
"5","2","boy","2",28,"139",64,26,0
"5","2","boy","2",28,"139",81,36,1
"5","2","boy","2",28,"139",58,36,2
"5","2","girl","9",24,"140",45,26,0
"5","2","girl","9",24,"140",79,27,1
"5","2","girl","9",24,"140",47,33,2
"5","2","girl","5",30,"141",72,35,0
"5","2","girl","5",30,"141",81,34,1
"5","2","girl","5",30,"141",63,36,2
"5","2","girl","1",32,"142",82,35,0
"5","2","girl","1",32,"142",88,33,1
"5","2","girl","1",32,"142",78,37,2
"5","2","girl","1",29,"143",73,30,0
"5","2","girl","1",29,"143",79,34,1
"5","2","girl","1",29,"143",57,34,2
"5","2","girl","3",29,"146",64,33,0
"5","2","girl","3",29,"146",87,26,1
"5","2","girl","3",29,"146",44,28,2
"5","2","boy","1",22,"148",65,28,0
"5","2","boy","1",22,"148",82,30,1
"5","2","boy","1",22,"148",32,30,2
"5","2","boy","9",22,"149",39,18,0
"5","2","boy","9",22,"149",77,14,1
"5","2","boy","9",22,"149",33,25,2
"5","2","boy","1",32,"150",53,31,0
"5","2","boy","1",32,"150",81,32,1
"5","2","boy","1",32,"150",39,37,2
"5","2","boy","2",27,"151",89,40,0
"5","2","boy","2",27,"151",90,38,1
"5","2","boy","2",27,"151",78,36,2
"6","1","boy","4",26,"152",14,31,0
"6","1","boy","4",26,"152",69,28,1
"6","1","boy","4",27,"153",66,16,1
"6","1","boy","4",27,"153",28,23,2
"6","1","girl","9",28,"154",43,23,0
"6","1","girl","9",28,"154",76,16,1
"6","1","girl","6",20,"155",59,21,0
"6","1","girl","6",20,"155",76,21,1
"6","1","girl","6",20,"155",27,28,2
"6","1","boy","4",24,"156",48,26,0
"6","1","boy","4",24,"156",36,31,2
"6","1","boy","7",30,"157",30,26,0
"6","1","boy","7",30,"157",59,23,1
"6","1","boy","7",30,"157",13,26,2
"6","1","girl","4",19,"158",70,24,0
"6","1","girl","4",19,"158",79,29,1
"6","1","girl","4",19,"158",42,30,2
"6","1","boy","4",31,"159",66,29,0
"6","1","boy","4",31,"159",82,35,1
"6","1","boy","4",31,"159",41,37,2
"6","1","boy","4",26,"160",51,27,1
"6","1","boy","4",26,"160",12,37,2
"6","1","girl","6",33,"161",47,22,1
"6","1","girl","5",26,"164",70,21,0
"6","1","girl","5",26,"164",80,18,1
"6","1","boy","2",27,"167",27,26,0
"6","1","boy","2",27,"167",63,23,1
"6","1","girl","4",22,"168",75,32,0
"6","1","girl","4",22,"168",86,31,1
"6","1","girl","4",22,"168",53,32,2
"6","1","girl","7",12,"171",50,19,0
"6","1","girl","7",12,"171",79,20,1
"6","1","girl","7",12,"171",43,24,2
"6","1","girl","9",28,"172",69,25,0
"6","1","girl","9",28,"172",84,29,1
"6","1","girl","9",28,"172",65,33,2
"6","2","girl","4",31,"174",68,25,1
"6","2","girl","4",31,"174",26,28,2
"6","2","boy","4",28,"175",28,30,0
"6","2","boy","4",28,"175",57,30,1
"6","2","boy","4",28,"175",29,36,2
"6","2","boy","4",34,"176",80,33,0
"6","2","boy","4",34,"176",86,33,1
"6","2","boy","4",34,"176",55,40,2
"6","2","girl","4",23,"177",66,31,0
"6","2","girl","4",23,"177",85,23,1
"6","2","girl","4",23,"177",37,36,2
"6","2","boy","4",27,"182",54,28,0
"6","2","boy","4",27,"182",78,28,1
"6","2","boy","4",27,"182",46,30,2
"6","2","boy","9",24,"183",41,25,0
"6","2","boy","9",24,"183",75,16,1
"6","2","boy","9",24,"183",35,31,2
"6","2","boy","9",29,"184",40,30,0
"6","2","boy","9",29,"184",44,23,1
"6","2","boy","9",29,"184",16,26,2
"6","2","girl","4",23,"185",40,28,0
"6","2","girl","4",23,"185",51,17,1
"6","2","boy","6",29,"188",64,23,0
"6","2","boy","6",29,"188",51,22,2
"7","1","girl","7",16,"189",32,15,1
"7","1","girl","7",16,"189",21,26,2
"7","1","boy","5",14,"190",19,8,0
"7","1","boy","5",14,"190",33,9,1
"7","1","girl","9",35,"191",87,38,0
"7","1","girl","9",35,"191",89,36,1
"7","1","girl","9",32,"192",66,23,0
"7","1","girl","9",33,"193",18,33,0
"7","1","girl","9",33,"193",55,31,1
"7","1","girl","9",33,"193",30,37,2
"7","1","girl","9",32,"194",78,34,0
"7","1","girl","9",32,"194",90,39,1
"7","1","girl","9",32,"194",71,36,2
"7","1","boy","6",28,"195",55,31,0
"7","1","boy","6",28,"195",74,31,1
"7","1","boy","6",28,"195",39,37,2
"7","1","girl","4",22,"196",24,17,0
"7","1","girl","4",22,"196",74,24,1
"7","1","girl","4",22,"196",67,37,2
"7","1","girl","7",23,"197",17,21,0
"7","1","girl","7",23,"197",67,31,1
"7","1","girl","7",23,"197",24,24,2
"7","1","boy","9",29,"198",85,37,0
"7","1","boy","9",29,"198",89,35,1
"7","1","boy","9",29,"198",88,39,2
"7","2","girl","2",32,"200",28,35,0
"7","2","girl","2",32,"200",73,34,1
"7","2","girl","2",29,"201",40,31,0
"7","2","girl","2",29,"201",89,32,1
"7","2","girl","2",29,"201",72,38,2
"7","2","boy","9",20,"202",55,25,0
"7","2","boy","9",20,"202",69,30,1
"7","2","boy","9",20,"202",37,33,2
"7","2","girl","9",25,"203",31,27,0
"7","2","girl","9",25,"203",21,21,1
"7","2","girl","9",25,"203",15,32,2
"7","2","girl","4",16,"204",15,9,0
"7","2","girl","4",16,"204",9,10,1
"7","2","girl","4",16,"204",26,21,2
"8","1","girl","8",16,"208",35,14,0
"8","1","girl","8",16,"208",69,15,1
"8","1","girl","8",16,"208",25,19,2
"8","1","boy","4",22,"209",37,23,0
"8","1","boy","4",22,"209",74,27,1
"8","1","boy","4",22,"209",25,30,2
"8","1","girl","4",19,"211",37,20,0
"8","1","girl","4",19,"211",52,16,1
"8","1","girl","4",19,"211",24,27,2
"8","1","boy","5",29,"212",73,30,0
"8","1","boy","5",29,"212",83,33,1
"8","1","boy","5",29,"212",55,33,2
"8","1","girl","4",29,"213",75,22,0
"8","1","girl","4",29,"213",89,27,1
"8","1","girl","4",29,"213",54,31,2
"8","1","boy","5",26,"214",69,31,0
"8","1","boy","5",26,"214",81,34,1
"8","1","boy","5",26,"214",62,29,2
"8","1","girl","4",27,"215",61,28,0
"8","1","girl","4",27,"215",79,33,1
"8","1","girl","4",27,"215",42,35,2
"8","1","boy","7",32,"217",54,29,0
"8","1","boy","7",32,"217",85,34,1
"8","1","boy","7",32,"217",62,38,2
"8","1","boy","4",26,"218",35,23,0
"8","1","boy","4",26,"218",79,36,1
"8","1","boy","4",26,"218",65,37,2
"8","1","girl","5",28,"219",70,30,0
"8","1","girl","5",28,"219",78,32,1
"8","1","girl","5",28,"219",62,33,2
"8","1","boy","2",26,"220",87,34,0
"8","1","boy","2",26,"220",85,32,1
"8","1","boy","2",26,"220",84,35,2
"8","2","girl","4",21,"221",27,30,0
"8","2","girl","4",21,"221",69,28,1
"8","2","girl","4",21,"221",15,25,2
"8","2","girl","4",33,"222",48,22,0
"8","2","girl","4",33,"222",43,23,1
"8","2","girl","4",33,"222",12,30,2
"8","2","girl","7",33,"223",88,34,0
"8","2","girl","7",33,"223",89,32,1
"8","2","girl","7",33,"223",83,35,2
"8","2","boy","3",17,"224",15,22,0
"8","2","boy","3",17,"224",61,18,1
"8","2","boy","3",17,"224",13,21,2
"8","2","girl","9",32,"225",55,29,0
"8","2","girl","9",32,"225",81,28,1
"8","2","boy","6",24,"226",18,17,0
"8","2","boy","6",24,"226",39,23,1
"8","2","girl","4",27,"227",63,25,0
"8","2","girl","4",27,"227",82,24,1
"8","2","girl","4",27,"227",38,32,2
"8","2","boy","9",25,"228",24,25,0
"8","2","boy","9",25,"228",65,24,1
"8","2","boy","9",25,"228",29,30,2
"8","2","girl","5",12,"229",60,18,0
"8","2","girl","5",12,"229",62,18,1
"8","2","girl","5",12,"229",23,23,2
"8","2","girl","4",27,"230",88,35,0
"8","2","girl","4",27,"230",85,28,1
"8","2","girl","4",27,"230",68,38,2
"8","2","girl","9",18,"232",63,26,0
"8","2","girl","9",18,"232",87,23,1
"8","2","girl","9",18,"232",47,30,2
"8","2","boy","9",34,"233",57,34,0
"8","2","boy","9",34,"233",80,31,1
"8","2","boy","9",34,"233",40,38,2
"8","2","boy","3",22,"234",32,29,0
"8","2","boy","3",22,"234",67,30,1
"8","2","boy","3",22,"234",42,34,2
"8","3","girl","4",17,"235",9,13,0
"8","3","girl","4",17,"235",63,20,1
"8","3","girl","4",17,"235",26,18,2
"8","3","girl","4",23,"236",75,22,1
"8","3","girl","4",23,"236",45,21,2
"8","3","girl","9",27,"237",49,24,0
"8","3","girl","9",27,"237",85,30,1
"8","3","boy","7",27,"238",49,22,0
"8","3","boy","7",27,"238",85,25,1
"8","3","boy","7",27,"238",62,33,2
"8","3","girl","9",27,"239",75,25,0
"8","3","girl","9",27,"239",88,21,1
"8","3","girl","9",27,"239",44,32,2
"8","3","girl","4",22,"241",30,28,0
"8","3","girl","4",22,"241",77,21,1
"8","3","girl","4",22,"241",29,33,2
"8","3","girl","4",17,"242",65,21,0
"9","1","boy","4",31,"243",73,26,0
"9","1","boy","4",31,"243",87,28,1
"9","1","boy","4",31,"243",70,32,2
"9","1","girl","1",33,"244",84,39,0
"9","1","girl","1",33,"244",87,36,1
"9","1","girl","1",33,"244",49,37,2
"9","1","girl","4",34,"245",83,33,0
"9","1","girl","4",34,"245",86,35,1
"9","1","girl","4",34,"245",74,35,2
"9","1","girl","3",34,"246",88,33,0
"9","1","girl","3",34,"246",91,35,1
"9","1","girl","3",34,"246",74,36,2
"9","1","girl","2",33,"247",88,37,0
"9","1","girl","2",33,"247",87,35,1
"9","1","girl","2",33,"247",88,37,2
"9","1","boy","1",35,"248",88,36,0
"9","1","boy","1",35,"248",88,38,1
"9","1","boy","1",35,"248",93,39,2
"9","1","boy","2",35,"249",71,33,0
"9","1","boy","2",35,"249",83,35,1
"9","1","boy","2",35,"249",62,37,2
"9","1","boy","2",31,"250",89,36,0
"9","1","boy","2",31,"250",89,38,1
"9","1","boy","2",31,"250",77,38,2
"9","2","boy","3",29,"251",16,11,0
"9","2","boy","3",29,"251",43,15,1
"9","2","boy","3",29,"251",38,17,2
"9","2","boy","4",34,"252",27,24,0
"9","2","boy","4",34,"252",48,18,1
"9","2","boy","4",34,"252",36,32,2
"9","2","boy","2",27,"253",39,28,0
"9","2","boy","2",27,"253",67,20,1
"9","2","boy","4",32,"254",74,30,0
"9","2","boy","4",32,"254",81,29,1
"9","2","boy","4",32,"254",66,30,2
"9","2","boy","2",30,"255",80,23,0
"9","2","boy","2",30,"255",82,22,1
"9","2","boy","2",30,"255",55,31,2
"9","2","girl","5",28,"256",38,26,0
"9","2","girl","5",28,"256",67,28,1
"9","2","girl","5",28,"256",45,34,2
"9","2","boy","1",36,"257",83,33,0
"9","2","boy","1",36,"257",88,35,1
"9","2","boy","1",36,"257",52,38,2
"9","2","girl","8",31,"258",32,26,0
"9","2","girl","8",31,"258",62,24,1
"9","2","girl","8",31,"258",33,30,2
"9","2","boy","2",35,"259",70,34,0
"9","2","boy","2",35,"259",81,32,1
"9","2","boy","2",35,"259",74,38,2
"9","2","girl","2",34,"260",53,25,0
"9","2","girl","2",34,"260",84,24,1
"9","2","girl","2",34,"260",61,28,2
"9","2","girl","3",29,"261",25,29,0
"9","2","girl","3",29,"261",79,30,1
"9","2","girl","3",29,"261",64,32,2
"9","2","girl","4",26,"262",22,18,0
"9","2","girl","4",26,"262",64,19,1
"9","2","girl","4",26,"262",33,22,2
"9","3","boy","1",28,"263",10,13,0
"9","3","boy","1",28,"263",23,15,1
"9","3","boy","1",28,"263",32,18,2
"9","3","boy","1",20,"264",24,16,0
"9","3","boy","1",20,"264",21,16,1
"9","3","boy","1",20,"264",12,22,2
"10","1","girl","9",19,"265",30,24,0
"10","1","girl","9",26,"266",33,16,0
"10","1","boy","6",31,"267",55,24,0
"10","1","boy","6",31,"267",68,32,1
"10","1","boy","4",23,"268",11,18,0
"10","1","boy","4",23,"268",61,28,1
"10","1","boy","4",22,"269",34,21,0
"10","1","boy","4",22,"269",76,30,1
"10","1","boy","7",30,"270",33,31,0
"10","1","boy","7",30,"270",72,29,1
"10","1","girl","4",31,"271",73,32,0
"10","1","girl","4",31,"271",87,35,1
"10","1","boy","1",24,"272",50,23,0
"10","1","boy","1",24,"272",75,22,1
"10","1","girl","4",21,"273",55,30,0
"10","1","girl","4",21,"273",66,31,1
"10","1","girl","3",32,"275",81,32,1
"10","1","girl","5",22,"276",46,18,0
"10","1","girl","5",22,"276",65,22,1
"10","1","boy","4",30,"277",10,22,0
"10","1","boy","4",16,"278",23,19,0
"10","1","boy","4",16,"278",27,29,1
"10","1","girl","4",13,"279",22,15,0
"10","1","girl","4",13,"279",23,27,1
"11","1","boy","3",21,"280",16,26,0
"11","1","boy","3",21,"280",74,21,1
"11","1","boy","3",21,"280",34,32,2
"11","1","boy","3",19,"284",37,28,0
"11","1","boy","3",19,"284",80,18,1
"11","1","boy","3",19,"284",57,30,2
"11","1","boy","4",12,"285",8,21,0
"11","1","boy","4",12,"285",34,17,1
"11","1","boy","4",12,"285",19,15,2
"11","2","girl","3",23,"287",9,25,0
"11","2","girl","3",23,"287",49,30,1
"11","2","girl","3",23,"287",35,35,2
"11","2","boy","3",21,"288",42,22,0
"11","2","boy","3",21,"288",85,31,1
"11","2","boy","3",21,"288",35,24,2
"11","2","girl","9",21,"289",8,18,0
"11","2","girl","9",21,"289",59,25,1
"11","2","girl","9",21,"289",11,26,2
"11","2","girl","3",19,"290",31,29,0
"11","2","girl","3",19,"290",81,25,1
"11","2","girl","3",19,"290",31,31,2
"11","2","girl","4",25,"291",26,23,0
"11","2","girl","4",25,"291",78,30,1
"11","2","girl","4",25,"291",40,33,2
"11","2","boy","8",24,"292",6,21,0
"11","2","boy","8",24,"292",34,27,1
"11","2","boy","8",24,"292",7,30,2
"11","2","boy","4",31,"293",23,31,0
"11","2","boy","4",31,"293",71,32,1
"11","2","boy","4",31,"293",33,38,2
"11","2","boy","4",28,"294",19,27,0
"11","2","boy","4",28,"294",65,25,1
"11","2","boy","6",20,"295",14,26,0
"11","2","boy","6",20,"295",39,16,1
"11","2","boy","6",20,"295",8,29,2
"12","1","girl","4",22,"296",59,28,0
"12","1","girl","4",22,"296",41,23,1
"12","1","girl","4",22,"296",29,34,2
"12","1","boy","4",19,"297",17,9,0
"12","1","boy","4",19,"297",17,15,1
"12","1","boy","4",19,"297",14,15,2
"12","1","girl","4",28,"298",87,25,0
"12","1","girl","4",28,"298",86,30,1
"12","1","girl","4",28,"298",78,34,2
"12","1","boy","5",18,"299",66,32,0
"12","1","boy","5",18,"299",66,37,1
"12","1","boy","5",18,"299",49,37,2
"12","2","boy","1",34,"300",79,34,0
"12","2","boy","1",34,"300",84,28,1
"12","2","boy","1",34,"300",85,32,2
"12","2","boy","9",20,"301",2,22,0
"12","2","girl","4",23,"302",54,24,0
"12","2","girl","4",23,"302",67,19,1
"12","2","girl","7",20,"303",32,23,0
"12","2","girl","7",20,"303",51,25,1
"12","2","girl","7",20,"303",38,30,2
"12","2","girl","2",35,"305",82,39,0
"12","2","girl","2",35,"305",88,36,1
