"longlive","wherebfr","hownbly","knowname","callname","age","district","sex"
"10yrs","same","VFriendly","20+","6-20","65+","2","female"
"10yrs","Exeter","NVfriendly","6-20","1-5",NA,"3",NA
"1-3yrs","Exeter","Average","1-5","none","18-30","1","male"
"10yrs","Exeter","FFriendly","6-20","6-20","31-50","3","female"
"3-10yrs","Exeter","FFriendly","20+","20+","31-50","1","female"
"3-10yrs","Exeter","FFriendly","6-20","1-5","51-65","1","female"
"10yrs","Exeter","FFriendly","6-20","1-5","51-65","3","male"
"6-12mos","Britain","Average","1-5","1-5","31-50","1","male"
"10yrs","Exeter","FFriendly","6-20","6-20","31-50","2","female"
"3-10yrs","same","FFriendly","1-5","1-5","51-65","2","male"
"1-3yrs","Devon","FFriendly","6-20","1-5","51-65","3","female"
"10yrs","Exeter","FFriendly","6-20","6-20","51-65","3","female"
"3-10yrs","Devon","NVfriendly","1-5",NA,"31-50","2","female"
"10yrs","same","Average","1-5","none","65+","4","male"
"10yrs","Exeter","Average","20+","6-20","18-30","4","female"
"3-10yrs","Devon","FFriendly","20+","20+","51-65","3","male"
"10yrs","Devon","Average","6-20","1-5","31-50","4","female"
"3-10yrs","Britain","FFriendly","6-20","6-20","65+","4","male"
"10yrs",NA,"FFriendly","6-20","6-20","51-65","4","female"
"3-10yrs","Exeter","NVfriendly","6-20","1-5","18-30","4",NA
"10yrs","Exeter","Vunfriendly","20+","20+","31-50","3","female"
"10yrs","Devon","FFriendly","6-20","6-20",NA,"1",NA
"3-10yrs","same","FFriendly","6-20","1-5","31-50","1","female"
"3-10yrs","Devon","Average","1-5","1-5","31-50","4","female"
"10yrs","Exeter","FFriendly","6-20","1-5","51-65","1","male"
"3-10yrs","Exeter","Average","1-5","1-5","18-30","4","female"
"6-12mos","Exeter","NVfriendly","none","none","18-30","2","male"
"3-10yrs","Britain","Average","1-5","1-5","31-50","3","female"
"3-10yrs","Exeter","VFriendly","6-20","6-20","31-50","2","female"
"3-10yrs","Britain","FFriendly","1-5","6-20","65+","1","female"
"3-10yrs","same","Average","6-20","6-20","65+","3","female"
"10yrs","Exeter","VFriendly","20+","20+","51-65","4","female"
"3-10yrs","Exeter","FFriendly","6-20","6-20","31-50","4","female"
"6-12mos","Abroad","Average","1-5","1-5","18-30","4","male"
"10yrs","Exeter","NVfriendly","1-5","1-5","31-50","4","female"
"10yrs","Exeter","FFriendly","6-20","6-20","65+","3","male"
"10yrs","Exeter","FFriendly","1-5","1-5","51-65","1","female"
"10yrs","Devon","Average","6-20","1-5","51-65","1","male"
"3-10yrs","same","VFriendly","20+","6-20","31-50","4","female"
"3-10yrs","Abroad",NA,"1-5","1-5","51-65","1","male"
"10yrs","Exeter","Average","1-5","1-5","65+","3","female"
"10yrs","Britain","NVfriendly","1-5","1-5","31-50","1","female"
"3-10yrs","Exeter","FFriendly","6-20","6-20","65+","1","male"
"3-10yrs","Britain","NVfriendly","1-5","1-5","51-65","1","female"
"10yrs","same","NVfriendly","6-20","6-20",NA,"3",NA
"3-10yrs","same","Average","1-5","1-5","-18","1","male"
"10yrs","same","VFriendly","20+","6-20","31-50","4","female"
"1-3yrs","Exeter","Average","20+","1-5","31-50","1","female"
"3-10yrs","Exeter","FFriendly","6-20","6-20","31-50","4","female"
"10yrs","Exeter","VFriendly","6-20","6-20","51-65","4","male"
"3-10yrs","Exeter","Average","1-5","1-5","31-50","4","female"
"10yrs","Exeter","VFriendly","20+","6-20","31-50","2","female"
"1-3yrs","Exeter","FFriendly","1-5","1-5","18-30","3","female"
"3-10yrs","Exeter","NVfriendly","20+","1-5","31-50","4","female"
"10yrs","Exeter","Average","1-5","1-5","65+","2","male"
"1-3yrs","same","Average","1-5","1-5","18-30","2","female"
"10yrs","Exeter","VFriendly","20+","6-20","31-50","1","female"
"3-10yrs","same","FFriendly","20+","6-20","31-50","4","male"
"3-10yrs","Devon","NVfriendly","1-5","1-5","31-50","2","female"
"3-10yrs","Exeter","Average","1-5","1-5","65+","1","female"
"3-10yrs","Exeter","NVfriendly","1-5","1-5","31-50","1","male"
"10yrs","Exeter","FFriendly","20+","20+","51-65","4","male"
"10yrs","Exeter","NVfriendly","6-20","6-20","31-50","4","male"
"1-3yrs","Exeter","VFriendly","20+","20+","31-50","3","female"
"10yrs","Britain","Average","6-20","6-20","51-65","1","female"
"10yrs","Exeter","Average","6-20","6-20","51-65","3","female"
"1-3yrs","Exeter","Average","1-5","1-5","18-30","1","male"
"3-10yrs","Britain","FFriendly","20+","20+","31-50","3","female"
"10yrs","Devon","Average","6-20","6-20","51-65","4","female"
"1-3yrs","Exeter","NVfriendly","6-20","6-20","31-50","4","male"
"10yrs","Exeter","VFriendly","20+","6-20","51-65","4","male"
"3-10yrs","Exeter","NVfriendly","1-5","1-5","31-50","3","female"
"3-10yrs","same","FFriendly","6-20","1-5","31-50","4","female"
"1-3yrs","Exeter","Average","1-5","1-5","65+","3","female"
"3-10yrs","Exeter","NVfriendly","6-20","6-20","31-50","1","female"
"10yrs","Britain","FFriendly","1-5","1-5","31-50","1","female"
"10yrs","Devon","VFriendly","6-20","6-20","51-65","1","male"
"3-10yrs","Exeter","Average","6-20","6-20","31-50","1","male"
"10yrs","Britain","FFriendly","6-20","6-20","65+","1","male"
"3-10yrs","Exeter","FFriendly","6-20","6-20","51-65","3","female"
"<6mos","Exeter","FFriendly","1-5","1-5","31-50","2","female"
"10yrs","Devon","FFriendly","6-20","1-5","51-65","3","male"
"6-12mos","Exeter","Average","6-20","1-5","51-65","3","female"
"3-10yrs","Exeter","FFriendly","6-20","1-5","51-65","3","female"
"1-3yrs","Devon","NVfriendly","1-5","1-5","18-30","1","male"
"10yrs","Exeter","Average","20+","6-20","31-50","4","female"
"10yrs","Britain","FFriendly","20+","20+","51-65","3","female"
"3-10yrs","same",NA,"6-20","6-20","18-30","3","female"
"10yrs","Exeter","VFriendly","20+","6-20","31-50","3","male"
"10yrs","Exeter","NVfriendly","6-20","none","31-50","4","female"
"10yrs","Devon","NVfriendly","1-5","1-5","31-50","1","female"
"<6mos","Exeter","VFriendly","6-20","6-20","18-30","2","male"
"10yrs","Exeter","VFriendly","1-5","1-5","51-65","1","male"
"3-10yrs","Exeter","Vunfriendly","20+","20+","31-50","3","female"
"3-10yrs","same","Average","6-20","6-20","18-30","4","male"
"1-3yrs","Exeter","NVfriendly","none","none","18-30","2","female"
"3-10yrs","Britain","NVfriendly","1-5","1-5","51-65","3","female"
"<6mos","Exeter","FFriendly","1-5","1-5","31-50","1","male"
"10yrs","Exeter","FFriendly","20+","1-5","65+","2","female"
"6-12mos","Britain","FFriendly","1-5","1-5","18-30","2","female"
"10yrs","Exeter","NVfriendly","1-5","1-5","51-65","4","female"
"3-10yrs","same","Average","1-5","1-5","31-50","3","female"
"3-10yrs","same","FFriendly","20+","20+","65+","2","male"
"1-3yrs","Exeter","Average","6-20","6-20","51-65","1","female"
"1-3yrs","Exeter","FFriendly","20+","1-5","18-30","3","male"
"10yrs","Devon","NVfriendly","6-20","6-20","31-50","1","female"
"1-3yrs","Exeter","Average","1-5","1-5","31-50","3","female"
"10yrs","same","Average","20+","20+","31-50","1","male"
"10yrs","same","Average","6-20","6-20","65+","4","female"
"10yrs","Exeter","NVfriendly","6-20","6-20","31-50","1","female"
"3-10yrs","same","FFriendly","6-20","6-20","31-50","4","female"
"1-3yrs","Devon","Average","1-5","1-5","31-50","1","female"
"10yrs","Exeter","VFriendly","20+","20+","31-50","3","female"
"3-10yrs","Exeter","FFriendly","20+","20+","18-30","4","male"
"1-3yrs","Exeter","Average","none","none","18-30","2","female"
"1-3yrs","Abroad","VFriendly","6-20","6-20","51-65","2","female"
"3-10yrs","Abroad","Average","1-5","1-5","51-65","1","female"
"10yrs","Exeter","FFriendly","6-20","6-20","31-50","1","female"
"3-10yrs","Exeter","FFriendly","6-20","6-20","18-30","3","male"
"3-10yrs","Exeter","FFriendly","6-20","1-5","18-30","2","female"
"10yrs","Devon","Average","1-5","1-5","51-65","3","female"
